charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, all (gin, rum, vodka, whiskey) 94 proof, distilled
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 275.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Fiber", 0.0, G
"Niacin", 0.013, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.001, MG
"Water", 60.30, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 2.00, MG
"Zinc, Zn", 0.04, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Iron, Fe", 0.04, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 4.00, MG
"Sodium, Na", 1.00, MG
"Ash", 0.00, G
"Alcohol, ethyl", 39.7, G
"Copper, Cu", 0.021, MG
"Manganese, Mn", 0.018, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.006, MG
"Riboflavin", 0.004, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 0.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Selenium, Se", 0.0, UG
# Downloaded from https://www.nutritionvalue.org 
