charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, BUDWEISER, regular, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 41.00, KCAL
"Fat", 0.00, G
"Protein", 0.36, G
"Carbohydrate", 2.97, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 92.77, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 33.00, MG
"Zinc, Zn", 0.00, MG
"Ash", 0.11, G
"Starch", 0.00, G
"Fructose", 0.00, G
"Alcohol, ethyl", 3.9, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 7.00, MG
"Phosphorus, P", 13.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.003, MG
"Manganese, Mn", 0.009, MG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
# Downloaded from https://www.nutritionvalue.org 
