charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, BUDWEISER SELECT, light, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 28.00, KCAL
"Fat", 0.00, G
"Protein", 0.20, G
"Carbohydrate", 0.87, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 95.30, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 26.00, MG
"Zinc, Zn", 0.01, MG
"Ash", 0.08, G
"Starch", 0.00, G
"Fructose", 0.00, G
"Alcohol, ethyl", 3.4, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 6.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.001, MG
"Manganese, Mn", 0.007, MG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
# Downloaded from https://www.nutritionvalue.org 
