charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, canned, tequila sunrise
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 110.00, KCAL
"Fat", 0.10, G
"Protein", 0.30, G
"Carbohydrate", 11.30, G
"Folic acid", 0.00, UG
"Folate, DFE", 11.00, UG
"Ash", 0.10, G
"Alcohol, ethyl", 9.4, G
"Vitamin C", 19.3, MG
"Thiamin", 0.038, MG
"Riboflavin", 0.016, MG
"Folate", 11.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 11.00, UG
"Cholesterol", 0.00, MG
"Fiber", 0.0, G
"Iron, Fe", 0.02, MG
"Magnesium, Mg", 7.00, MG
"Phosphorus, P", 10.00, MG
"Sodium, Na", 57.00, MG
"Copper, Cu", 0.042, MG
"Manganese, Mn", 0.014, MG
"Vitamin A", 97.00, IU
"Water", 78.80, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 10.00, MG
"Zinc, Zn", 0.60, MG
"Niacin", 0.190, MG
"Pantothenic acid", 0.088, MG
"Vitamin B6", 0.050, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 5.00, UG
"Fatty acids, total trans", 0.000, G
"Selenium, Se", 0.0, UG
# Downloaded from https://www.nutritionvalue.org 
