charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, canned, whiskey sour
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 119.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 13.40, G
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Ash", 0.10, G
"Alcohol, ethyl", 9.5, G
"Fiber", 0.1, G
"Iron, Fe", 0.01, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 6.00, MG
"Sodium, Na", 44.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.006, MG
"Vitamin A", 13.00, IU
"Vitamin C", 1.6, MG
"Thiamin", 0.011, MG
"Riboflavin", 0.006, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 0.00, UG
"Cholesterol", 0.00, MG
"Water", 76.90, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 11.00, MG
"Zinc, Zn", 0.06, MG
"Niacin", 0.020, MG
"Pantothenic acid", 0.008, MG
"Vitamin B6", 0.000, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 1.00, UG
"Fatty acids, total trans", 0.000, G
"Selenium, Se", 0.1, UG
# Downloaded from https://www.nutritionvalue.org 
