charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, hard lemonade, malt beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 68.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 10.07, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 9.77, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 27.00, MG
"Zinc, Zn", 0.01, MG
"Selenium, Se", 0.3, UG
"Vitamin E", 0.02, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 1.00, UG
"Niacin", 0.225, MG
"Pantothenic acid", 0.041, MG
"Vitamin B6", 0.022, MG
"Choline", 4.4, MG
"Folic acid", 0.00, UG
"Folate, DFE", 4.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Sucrose", 2.11, G
"Glucose (dextrose)", 3.55, G
"Maltose", 0.10, G
"Ash", 0.13, G
"Starch", 0.00, G
"Fructose", 3.91, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 4.00, MG
"Phosphorus, P", 7.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.008, MG
"Manganese, Mn", 0.006, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 2.8, MG
"Thiamin", 0.006, MG
"Riboflavin", 0.010, MG
"Folate", 4.00, UG
"Vitamin B12", 0.01, UG
"Vitamin K", 0.0, UG
"Folate, food", 4.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 4.0, G
"Water", 85.74, G
"Tocopherol, alpha", 0.02, MG
# Downloaded from https://www.nutritionvalue.org 
