charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, higher alcohol, light, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 46.00, KCAL
"Fat", 0.00, G
"Protein", 0.25, G
"Carbohydrate", 0.77, G
"Ash", 0.09, G
"Alcohol, ethyl", 6.0, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 12.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.006, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.005, MG
"Riboflavin", 0.015, MG
"Folate", 6.00, UG
"Vitamin B12", 0.02, UG
"Vitamin K", 0.0, UG
"Folate, food", 6.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Water", 92.88, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.09, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 21.00, MG
"Zinc, Zn", 0.01, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.391, MG
"Vitamin B6", 0.034, MG
"Choline", 8.8, MG
"Folic acid", 0.00, UG
"Folate, DFE", 6.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
