charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, light, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 29.00, KCAL
"Fat", 0.00, G
"Protein", 0.24, G
"Carbohydrate", 1.64, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fluoride, F", 45.3, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.005, MG
"Riboflavin", 0.015, MG
"Folate", 6.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.010, G
"Glutamic acid", 0.039, G
"Glycine", 0.011, G
"Proline", 0.029, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.0, UG
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 12.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.006, MG
"Manganese, Mn", 0.006, MG
"Starch", 0.00, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Selenium, Se", 0.4, UG
"Sugars", 0.09, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 21.00, MG
"Zinc, Zn", 0.01, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.09, G
"Maltose", 0.00, G
"Niacin", 0.391, MG
"Pantothenic acid", 0.030, MG
"Vitamin B6", 0.034, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.013, G
"Serine", 0.000, G
"Water", 94.88, G
"Folate, food", 6.00, UG
"Alcohol, ethyl", 3.1, G
"Vitamin A, RAE", 0.00, UG
"Ash", 0.09, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12", 0.02, UG
"Folate, DFE", 6.00, UG
"Choline", 8.8, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
