charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, low carb, light, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 27.00, KCAL
"Fat", 0.00, G
"Protein", 0.17, G
"Carbohydrate", 0.73, G
"Ash", 0.06, G
"Starch", 0.00, G
"Fructose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 4.00, MG
"Phosphorus, P", 8.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.002, MG
"Manganese, Mn", 0.005, MG
"Cholesterol", 0.00, MG
"Calcium, Ca", 4.00, MG
"Potassium, K", 17.00, MG
"Zinc, Zn", 0.01, MG
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 95.40, G
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Alcohol, ethyl", 3.3, G
"Selenium, Se", 0.0, UG
"Vitamin E", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.000, MG
"Vitamin B6", 0.000, MG
"Choline", 0.0, MG
"Folic acid", 0.00, UG
"Folate, DFE", 0.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
