charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverages, higher alcohol, beer
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 58.00, KCAL
"Fat", 0.00, G
"Protein", 0.90, G
"Carbohydrate", 0.27, G
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 32.00, MG
"Sodium, Na", 4.00, MG
"Ash", 0.12, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Copper, Cu", 0.008, MG
"Manganese, Mn", 0.022, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.090, MG
"Folate", 18.00, UG
"Vitamin B12", 0.02, UG
"Vitamin K", 0.0, UG
"Folate, food", 18.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Zinc, Zn", 0.01, MG
"Selenium, Se", 0.6, UG
"Vitamin E", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 91.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 8.00, MG
"Potassium, K", 62.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 1.100, MG
"Pantothenic acid", 0.210, MG
"Vitamin B6", 0.090, MG
"Choline", 10.1, MG
"Folic acid", 0.00, UG
"Folate, DFE", 18.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Alcohol, ethyl", 7.7, G
"Vitamin A, RAE", 0.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
