charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Arrowroot, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 65.00, KCAL
"Fat", 0.20, G
"Protein", 4.24, G
"Carbohydrate", 13.39, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Folate, DFE", 338.00, UG
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 11.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Folate, food", 338.00, UG
"Vitamin A", 19.00, IU
"Fatty acids, total trans", 0.000, G
"Vitamin D", 0.00, UG
"Water", 80.75, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 454.00, MG
"Zinc, Zn", 0.63, MG
"Niacin", 1.693, MG
"Pantothenic acid", 0.292, MG
"Vitamin B6", 0.266, MG
"Hexadecanoic acid", 0.035, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.004, G
"Octadecadienoic acid", 0.074, G
"Octadecatrienoic acid", 0.018, G
"Monounsaturated fatty acids", 0.004, G
"Polyunsaturated fatty acids", 0.092, G
"Ash", 1.42, G
"Fiber", 1.3, G
"Iron, Fe", 2.22, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 98.00, MG
"Sodium, Na", 26.00, MG
"Copper, Cu", 0.121, MG
"Manganese, Mn", 0.174, MG
"Saturated fatty acids", 0.039, G
"Tetradecanoic acid", 0.002, G
"Hexadecenoic acid", 0.000, G
"Vitamin C", 1.9, MG
"Thiamin", 0.143, MG
"Riboflavin", 0.059, MG
"Folate", 338.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Selenium, Se", 0.7, UG
# Downloaded from https://www.nutritionvalue.org 
