charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Asparagus, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 20.00, KCAL
"Fat", 0.12, G
"Protein", 2.20, G
"Carbohydrate", 3.88, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Saturated fatty acids", 0.040, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tocopherol, delta", 0.00, MG
"Vitamin C", 5.6, MG
"Folate", 52.00, UG
"Folate, food", 52.00, UG
"Tryptophan", 0.027, G
"Threonine", 0.084, G
"Methionine", 0.031, G
"Phenylalanine", 0.075, G
"Tyrosine", 0.052, G
"Alanine", 0.115, G
"Glutamic acid", 0.233, G
"Glycine", 0.093, G
"Proline", 0.071, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.09, MG
"Betaine", 0.6, MG
"Isoleucine", 0.075, G
"Leucine", 0.128, G
"Lysine", 0.104, G
"Cystine", 0.031, G
"Valine", 0.115, G
"Arginine", 0.091, G
"Histidine", 0.049, G
"Aspartic acid", 0.508, G
"Serine", 0.106, G
"Vitamin E", 1.13, MG
"Sugars", 1.88, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.040, G
"Octadecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.040, G
"Octadecatrienoic acid", 0.010, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.050, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Choline", 16.0, MG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Sodium, Na", 2.00, MG
"Cholesterol", 0.00, MG
"Phytosterols", 24.00, MG
"Vitamin B12", 0.00, UG
"Folate, DFE", 52.00, UG
"Vitamin A, RAE", 38.00, UG
"Vitamin A", 756.00, IU
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 2.3, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 449.00, UG
"Carotene, alpha", 9.00, UG
"Copper, Cu", 0.189, MG
"Manganese, Mn", 0.158, MG
"Galactose", 0.00, G
"Fiber", 2.1, G
"Iron, Fe", 2.14, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 52.00, MG
"Ash", 0.58, G
"Fructose", 1.00, G
"Lactose", 0.00, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 41.6, UG
"Thiamin", 0.143, MG
"Riboflavin", 0.141, MG
"Calcium, Ca", 24.00, MG
"Potassium, K", 202.00, MG
"Zinc, Zn", 0.54, MG
"Sucrose", 0.23, G
"Glucose (dextrose)", 0.65, G
"Maltose", 0.00, G
"Water", 93.22, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 710.00, UG
"Niacin", 0.978, MG
"Pantothenic acid", 0.274, MG
"Vitamin B6", 0.091, MG
"Tocopherol, alpha", 1.13, MG
# Downloaded from https://www.nutritionvalue.org 
