charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Asparagus, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 24.00, KCAL
"Fat", 0.23, G
"Protein", 3.23, G
"Carbohydrate", 4.10, G
"Folic acid", 0.00, UG
"Folate, DFE", 191.00, UG
"Fiber", 1.9, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 47.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin C", 31.8, MG
"Thiamin", 0.121, MG
"Riboflavin", 0.131, MG
"Folate", 191.00, UG
"Vitamin B12", 0.00, UG
"Iron, Fe", 0.73, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 64.00, MG
"Sodium, Na", 8.00, MG
"Copper, Cu", 0.137, MG
"Manganese, Mn", 0.203, MG
"Vitamin A", 948.00, IU
"Saturated fatty acids", 0.052, G
"Hexadecenoic acid", 0.001, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.001, G
"Tryptophan", 0.031, G
"Threonine", 0.090, G
"Methionine", 0.031, G
"Phenylalanine", 0.076, G
"Tyrosine", 0.051, G
"Alanine", 0.152, G
"Glutamic acid", 0.528, G
"Glycine", 0.105, G
"Proline", 0.171, G
"Cholesterol", 0.00, MG
"Ash", 0.62, G
"Niacin", 1.202, MG
"Pantothenic acid", 0.184, MG
"Vitamin B6", 0.111, MG
"Hexadecanoic acid", 0.047, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.006, G
"Octadecadienoic acid", 0.096, G
"Octadecatrienoic acid", 0.005, G
"Isoleucine", 0.119, G
"Leucine", 0.140, G
"Lysine", 0.153, G
"Cystine", 0.038, G
"Valine", 0.124, G
"Arginine", 0.151, G
"Histidine", 0.050, G
"Aspartic acid", 0.374, G
"Serine", 0.123, G
"Monounsaturated fatty acids", 0.007, G
"Polyunsaturated fatty acids", 0.101, G
"Water", 91.82, G
"Calcium, Ca", 25.00, MG
"Potassium, K", 253.00, MG
"Zinc, Zn", 0.59, MG
"Vitamin D", 0.00, UG
"Folate, food", 191.00, UG
"Selenium, Se", 1.7, UG
# Downloaded from https://www.nutritionvalue.org 
