charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bagels, wheat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 250.00, KCAL
"Fat", 1.53, G
"Protein", 10.20, G
"Carbohydrate", 48.89, G
"Ash", 1.82, G
"Alcohol, ethyl", 0.0, G
"Fiber", 4.1, G
"Iron, Fe", 2.76, MG
"Magnesium, Mg", 51.00, MG
"Phosphorus, P", 142.00, MG
"Sodium, Na", 439.00, MG
"Copper, Cu", 0.175, MG
"Manganese, Mn", 1.430, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 2.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.403, MG
"Riboflavin", 0.209, MG
"Folate", 76.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 1.5, UG
"Folate, food", 31.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.008, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Water", 37.55, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 6.12, G
"Calcium, Ca", 20.00, MG
"Potassium, K", 165.00, MG
"Zinc, Zn", 1.10, MG
"Fluoride, F", 24.1, UG
"Selenium, Se", 28.7, UG
"Vitamin E", 0.32, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 88.00, UG
"Niacin", 3.370, MG
"Pantothenic acid", 0.375, MG
"Vitamin B6", 0.147, MG
"Choline", 9.8, MG
"Folic acid", 46.00, UG
"Folate, DFE", 108.00, UG
"Betaine", 21.6, MG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.277, G
"Octadecadienoic acid", 0.859, G
"Octadecatrienoic acid", 0.076, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.005, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.290, G
"Polyunsaturated fatty acids", 0.936, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Uncosapentaenoic acid", 0.000, G
"Tocopherol, alpha", 0.32, MG
# Downloaded from https://www.nutritionvalue.org 
