charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Baking chocolate, liquid, unsweetened
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 472.00, KCAL
"Fat", 47.70, G
"Protein", 12.10, G
"Carbohydrate", 36.20, G
"Folic acid", 0.00, UG
"Folate, DFE", 19.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 1.00, UG
"Water", 0.90, G
"Niacin", 2.100, MG
"Calcium, Ca", 54.00, MG
"Potassium, K", 1166.00, MG
"Zinc, Zn", 3.68, MG
"Isoleucine", 0.471, G
"Leucine", 0.737, G
"Lysine", 0.609, G
"Cystine", 0.148, G
"Valine", 0.730, G
"Arginine", 0.689, G
"Histidine", 0.210, G
"Aspartic acid", 1.211, G
"Serine", 0.525, G
"Hexanoic acid", 0.130, G
"Decanoic acid", 1.270, G
"Hexadecanoic acid", 6.060, G
"Octadecanoic acid", 3.160, G
"Octadecenoic acid", 9.180, G
"Octadecadienoic acid", 10.100, G
"Octadecatrienoic acid", 0.600, G
"Monounsaturated fatty acids", 9.230, G
"Polyunsaturated fatty acids", 10.700, G
"Ash", 3.10, G
"Iron, Fe", 4.15, MG
"Magnesium, Mg", 265.00, MG
"Phosphorus, P", 340.00, MG
"Sodium, Na", 12.00, MG
"Copper, Cu", 1.910, MG
"Manganese, Mn", 1.650, MG
"Tryptophan", 0.182, G
"Threonine", 0.481, G
"Methionine", 0.125, G
"Phenylalanine", 0.584, G
"Tyrosine", 0.456, G
"Alanine", 0.561, G
"Glutamic acid", 1.828, G
"Glycine", 0.545, G
"Proline", 0.520, G
"Thiamin", 0.050, MG
"Saturated fatty acids", 25.290, G
"Octanoic acid", 1.590, G
"Dodecanoic acid", 9.450, G
"Tetradecanoic acid", 3.630, G
"Hexadecenoic acid", 0.050, G
"Selenium, Se", 7.9, UG
"Pantothenic acid", 0.154, MG
"Vitamin B6", 0.072, MG
"Caffeine", 47.00, MG
"Theobromine", 1597.00, MG
"Sugars", 0.00, G
"Vitamin C", 0.0, MG
"Vitamin A", 12.00, IU
"Riboflavin", 0.279, MG
"Folate", 19.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 19.00, UG
"Cholesterol", 0.00, MG
"Fiber", 18.1, G
# Downloaded from https://www.nutritionvalue.org 
