charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Baking chocolate, squares, unsweetened
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 642.00, KCAL
"Fat", 52.31, G
"Protein", 14.32, G
"Carbohydrate", 28.42, G
"Stigmasterol", 38.00, MG
"Beta-sitosterol", 85.00, MG
"Isoleucine", 0.410, G
"Leucine", 0.695, G
"Lysine", 0.470, G
"Cystine", 0.225, G
"Valine", 0.655, G
"Arginine", 0.815, G
"Histidine", 0.215, G
"Aspartic acid", 1.270, G
"Serine", 0.530, G
"Folic acid", 0.00, UG
"Niacin", 1.355, MG
"Pantothenic acid", 0.168, MG
"Vitamin B6", 0.027, MG
"Sugars", 0.91, G
"Calcium, Ca", 101.00, MG
"Potassium, K", 830.00, MG
"Zinc, Zn", 9.63, MG
"Selenium, Se", 8.1, UG
"Water", 1.34, G
"Caffeine", 80.00, MG
"Iron, Fe", 17.40, MG
"Magnesium, Mg", 327.00, MG
"Phosphorus, P", 400.00, MG
"Sodium, Na", 24.00, MG
"Copper, Cu", 3.233, MG
"Manganese, Mn", 4.167, MG
"Vitamin A", 0.00, IU
"Ash", 3.60, G
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.147, MG
"Riboflavin", 0.100, MG
"Folate", 28.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 9.7, UG
"Tryptophan", 0.130, G
"Threonine", 0.370, G
"Methionine", 0.140, G
"Phenylalanine", 0.525, G
"Tyrosine", 0.425, G
"Alanine", 0.475, G
"Glutamic acid", 1.870, G
"Glycine", 0.505, G
"Proline", 0.880, G
"Hydroxyproline", 0.000, G
"Campesterol", 13.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Cholesterol", 2.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 32.277, G
"Galactose", 0.00, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Cis-octadecenoic acid", 15.969, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Theobromine", 1297.00, MG
"Sucrose", 0.91, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Hexadecanoic acid", 13.309, G
"Octadecanoic acid", 18.232, G
"Eicosanoic acid", 0.553, G
"Octadecenoic acid", 15.969, G
"Octadecadienoic acid", 1.435, G
"Monounsaturated fatty acids", 16.068, G
"Polyunsaturated fatty acids", 1.551, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin E", 0.40, MG
"Lutein + zeaxanthin", 38.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 5.83, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12", 0.00, UG
"Fiber", 16.6, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.033, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.050, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.100, G
"Folate, food", 28.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.12, G
"Heptadecenoic acid", 0.000, G
"Heptadecanoic acid", 0.100, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Choline", 45.7, MG
"Folate, DFE", 28.00, UG
"Betaine", 2.6, MG
"Octadecatrienoic acid", 0.117, G
"Eicosatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Tocopherol, alpha", 0.40, MG
# Downloaded from https://www.nutritionvalue.org 
