charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bamboo shoots, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 27.00, KCAL
"Fat", 0.30, G
"Protein", 2.60, G
"Carbohydrate", 5.20, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Sugars", 3.00, G
"Vitamin E", 1.00, MG
"Carotene, beta", 12.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Alcohol, ethyl", 0.0, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A, RAE", 1.00, UG
"Vitamin A", 20.00, IU
"Choline", 0.0, MG
"Folate, DFE", 7.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Ash", 0.90, G
"Vitamin C", 4.0, MG
"Thiamin", 0.150, MG
"Riboflavin", 0.070, MG
"Folate", 7.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.027, G
"Threonine", 0.086, G
"Methionine", 0.030, G
"Phenylalanine", 0.090, G
"Alanine", 0.124, G
"Glutamic acid", 0.248, G
"Glycine", 0.087, G
"Proline", 0.219, G
"Fiber", 2.2, G
"Iron, Fe", 0.50, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 59.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.190, MG
"Manganese, Mn", 0.262, MG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.069, G
"Phytosterols", 19.00, MG
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Water", 91.00, G
"Niacin", 0.600, MG
"Pantothenic acid", 0.161, MG
"Vitamin B6", 0.240, MG
"Hexadecanoic acid", 0.051, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.007, G
"Octadecadienoic acid", 0.114, G
"Octadecatrienoic acid", 0.020, G
"Monounsaturated fatty acids", 0.007, G
"Polyunsaturated fatty acids", 0.134, G
"Isoleucine", 0.088, G
"Leucine", 0.140, G
"Lysine", 0.134, G
"Cystine", 0.022, G
"Valine", 0.106, G
"Arginine", 0.097, G
"Histidine", 0.042, G
"Aspartic acid", 0.425, G
"Serine", 0.127, G
"Calcium, Ca", 13.00, MG
"Potassium, K", 533.00, MG
"Zinc, Zn", 1.10, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Folate, food", 7.00, UG
"Selenium, Se", 0.8, UG
"Tocopherol, alpha", 1.00, MG
# Downloaded from https://www.nutritionvalue.org 
