charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bananas, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 89.00, KCAL
"Fat", 0.33, G
"Protein", 1.09, G
"Carbohydrate", 22.84, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Saturated fatty acids", 0.112, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.010, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A", 64.00, IU
"Vitamin A, RAE", 3.00, UG
"Folate, food", 20.00, UG
"Fluoride, F", 2.2, UG
"Choline", 9.8, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.102, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.022, G
"Octadecadienoic acid", 0.046, G
"Octadecatrienoic acid", 0.027, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.032, G
"Polyunsaturated fatty acids", 0.073, G
"Folate, DFE", 20.00, UG
"Betaine", 0.1, MG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Phytosterols", 16.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.5, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.01, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 8.7, MG
"Thiamin", 0.031, MG
"Riboflavin", 0.073, MG
"Folate", 20.00, UG
"Tryptophan", 0.009, G
"Threonine", 0.028, G
"Methionine", 0.008, G
"Phenylalanine", 0.049, G
"Tyrosine", 0.009, G
"Alanine", 0.040, G
"Glutamic acid", 0.152, G
"Glycine", 0.038, G
"Proline", 0.028, G
"Carotene, beta", 26.00, UG
"Carotene, alpha", 25.00, UG
"Galactose", 0.00, G
"Fiber", 2.6, G
"Iron, Fe", 0.26, MG
"Magnesium, Mg", 27.00, MG
"Phosphorus, P", 22.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.078, MG
"Manganese, Mn", 0.270, MG
"Ash", 0.82, G
"Starch", 5.38, G
"Fructose", 4.85, G
"Lactose", 0.00, G
"Sugars", 12.23, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 358.00, MG
"Zinc, Zn", 0.15, MG
"Sucrose", 2.39, G
"Glucose (dextrose)", 4.98, G
"Maltose", 0.01, G
"Water", 74.91, G
"Isoleucine", 0.028, G
"Leucine", 0.068, G
"Lysine", 0.050, G
"Cystine", 0.009, G
"Valine", 0.047, G
"Arginine", 0.049, G
"Histidine", 0.077, G
"Aspartic acid", 0.124, G
"Serine", 0.040, G
"Lutein + zeaxanthin", 22.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.02, MG
"Tocotrienol, alpha", 0.06, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.665, MG
"Pantothenic acid", 0.334, MG
"Vitamin B6", 0.367, MG
"Selenium, Se", 1.0, UG
"Vitamin E", 0.10, MG
"Tocopherol, alpha", 0.10, MG
# Downloaded from https://www.nutritionvalue.org 
