charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Barley, hulled
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 354.00, KCAL
"Fat", 2.30, G
"Protein", 12.48, G
"Carbohydrate", 73.48, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Folate, DFE", 19.00, UG
"Selenium, Se", 37.7, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.80, G
"Lutein + zeaxanthin", 160.00, UG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 13.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 2.2, UG
"Folate, food", 19.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.482, G
"Hexadecenoic acid", 0.006, G
"Dodecanoic acid", 0.006, G
"Tetradecanoic acid", 0.011, G
"Tryptophan", 0.208, G
"Threonine", 0.424, G
"Methionine", 0.240, G
"Phenylalanine", 0.700, G
"Tyrosine", 0.358, G
"Alanine", 0.486, G
"Glutamic acid", 3.261, G
"Glycine", 0.452, G
"Proline", 1.484, G
"Vitamin C", 0.0, MG
"Thiamin", 0.646, MG
"Riboflavin", 0.285, MG
"Folate", 19.00, UG
"Vitamin B12", 0.00, UG
"Fiber", 17.3, G
"Iron, Fe", 3.60, MG
"Magnesium, Mg", 133.00, MG
"Phosphorus, P", 264.00, MG
"Sodium, Na", 12.00, MG
"Copper, Cu", 0.498, MG
"Manganese, Mn", 1.943, MG
"Vitamin A", 22.00, IU
"Ash", 2.29, G
"Hexadecanoic acid", 0.411, G
"Octadecanoic acid", 0.017, G
"Octadecenoic acid", 0.241, G
"Octadecadienoic acid", 0.999, G
"Octadecatrienoic acid", 0.110, G
"Isoleucine", 0.456, G
"Leucine", 0.848, G
"Lysine", 0.465, G
"Cystine", 0.276, G
"Valine", 0.612, G
"Arginine", 0.625, G
"Histidine", 0.281, G
"Aspartic acid", 0.779, G
"Serine", 0.527, G
"Monounsaturated fatty acids", 0.295, G
"Polyunsaturated fatty acids", 1.108, G
"Niacin", 4.604, MG
"Pantothenic acid", 0.282, MG
"Vitamin B6", 0.318, MG
"Calcium, Ca", 33.00, MG
"Potassium, K", 452.00, MG
"Zinc, Zn", 2.77, MG
"Vitamin E", 0.57, MG
"Water", 9.44, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.57, MG
# Downloaded from https://www.nutritionvalue.org 
