charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beef, raw, 95% lean meat / 5% fat, ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 137.00, KCAL
"Fat", 5.00, G
"Protein", 21.41, G
"Carbohydrate", 0.00, G
"Cholesterol", 62.00, MG
"Vitamin B12", 2.24, UG
"Vitamin K", 0.3, UG
"Ash", 1.05, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 2.38, MG
"Magnesium, Mg", 22.00, MG
"Phosphorus, P", 198.00, MG
"Sodium, Na", 66.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.041, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Potassium, K", 346.00, MG
"Zinc, Zn", 5.09, MG
"Selenium, Se", 17.4, UG
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 5.494, MG
"Vitamin B6", 0.392, MG
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.008, G
"Pentadecanoic acid", 0.023, G
"Decanoic acid", 0.000, G
"Eicosanoic acid", 0.009, G
"Octadecadienoic acid", 0.185, G
"Eicosenoic acid", 0.014, G
"Tetradecenoic acid", 0.023, G
"Hexadecenoic acid", 0.154, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.03, G
"Manganese, Mn", 0.010, MG
"Choline", 70.9, MG
"Folate, food", 5.00, UG
"Folate", 5.00, UG
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Pantothenic acid", 0.652, MG
"Lysine", 1.775, G
"Cystine", 0.221, G
"Valine", 1.053, G
"Arginine", 1.395, G
"Histidine", 0.696, G
"Aspartic acid", 1.930, G
"Serine", 0.858, G
"Betaine", 7.8, MG
"Isoleucine", 0.947, G
"Eicosatetraenoic acid", 0.035, G
"Water", 73.24, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.005, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tryptophan", 0.109, G
"Threonine", 0.829, G
"Methionine", 0.551, G
"Phenylalanine", 0.836, G
"Tyrosine", 0.659, G
"Alanine", 1.342, G
"Glutamic acid", 3.213, G
"Glycine", 1.454, G
"Proline", 1.092, G
"Hydroxyproline", 0.272, G
"Heptadecenoic acid", 0.022, G
"Riboflavin", 0.151, MG
"Copper, Cu", 0.078, MG
"Vitamin E", 0.17, MG
"Vitamin D (D2 + D3), International Units", 3.00, IU
"Trans-octadecenoic acid", 0.220, G
"Vitamin A", 14.00, IU
"Retinol", 4.00, UG
"Vitamin A, RAE", 4.00, UG
"Vitamin D", 0.10, UG
"Fatty acids, total trans-monoenoic", 0.220, G
"Fatty acids, total trans", 0.220, G
"Calcium, Ca", 9.00, MG
"Folic acid", 0.00, UG
"Hexadecanoic acid", 1.156, G
"Octadecanoic acid", 0.813, G
"Monounsaturated fatty acids", 1.994, G
"Polyunsaturated fatty acids", 0.257, G
"Vitamin D3", 0.10, UG
"Saturated fatty acids", 2.182, G
"Tetradecanoic acid", 0.125, G
"Heptadecanoic acid", 0.052, G
"Octadecatrienoic acid", 0.036, G
"Octadecenoic acid", 1.909, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Leucine", 1.671, G
"Folate, DFE", 5.00, UG
"Tocopherol, alpha", 0.17, MG
# Downloaded from https://www.nutritionvalue.org 
