charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beef, raw, ground, grass-fed
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 198.00, KCAL
"Fat", 12.73, G
"Protein", 19.42, G
"Carbohydrate", 0.00, G
"Pantothenic acid", 0.576, MG
"Folate, DFE", 6.00, UG
"Choline", 67.4, MG
"Lutein + zeaxanthin", 0.00, UG
"Water", 67.13, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 12.00, MG
"Potassium, K", 289.00, MG
"Zinc, Zn", 4.55, MG
"Selenium, Se", 14.2, UG
"Betaine", 8.0, MG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.005, G
"Hexadecanoic acid", 2.747, G
"Octadecanoic acid", 1.980, G
"Eicosanoic acid", 0.019, G
"Octadecenoic acid", 4.363, G
"Octadecadienoic acid", 0.426, G
"Octadecatrienoic acid", 0.071, G
"Eicosatetraenoic acid", 0.012, G
"Octadecatetraenoic acid", 0.002, G
"Eicosenoic acid", 0.015, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.800, G
"Polyunsaturated fatty acids", 0.532, G
"Pentadecanoic acid", 0.078, G
"Trans-octadecenoic acid", 0.615, G
"Trans-octadecadienoic acid", 0.136, G
"Octadecadienoic CLAs acid", 0.109, G
"Cis,cis-eicosadienoic n-6 acid", 0.001, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.001, G
"Fatty acids, total trans-polyenoic", 0.136, G
"Vitamin B12", 1.97, UG
"Fiber", 0.0, G
"Iron, Fe", 1.99, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 175.00, MG
"Sodium, Na", 68.00, MG
"Copper, Cu", 0.063, MG
"Manganese, Mn", 0.010, MG
"Vitamin A", 0.00, IU
"Vitamin B12, added", 0.00, UG
"Cholesterol", 62.00, MG
"Fatty acids, total trans", 0.751, G
"Saturated fatty acids", 5.335, G
"Octanoic acid", 0.001, G
"Dodecanoic acid", 0.009, G
"Tetradecanoic acid", 0.345, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.003, G
"Tetradecenoic acid", 0.074, G
"Hexadecenoic acid", 0.347, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.147, G
"Tetracosanoic acid", 0.000, G
"Cis-octadecenoic acid", 3.748, G
"Cis,cis-octadecadienoic n-6 acid", 0.181, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.615, G
"Pentadecenoic acid", 0.002, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.07, G
"Ash", 1.71, G
"Alcohol, ethyl", 0.0, G
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.049, MG
"Vitamin K", 1.1, UG
"Folate, food", 6.00, UG
"Riboflavin", 0.154, MG
"Folate", 6.00, UG
"Retinol", 0.00, UG
"Folic acid", 0.00, UG
"Niacin", 4.818, MG
"Vitamin B6", 0.355, MG
"Vitamin E", 0.35, MG
"Tocopherol, alpha", 0.35, MG
# Downloaded from https://www.nutritionvalue.org 
