charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beef, raw, separable fat, retail cuts
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 674.00, KCAL
"Fat", 70.89, G
"Protein", 8.21, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Thiamin", 0.030, MG
"Riboflavin", 0.037, MG
"Folate", 0.00, UG
"Vitamin B12", 0.73, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 3.4, UG
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Ash", 0.28, G
"Alcohol, ethyl", 0.0, G
"Iron, Fe", 0.72, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 61.00, MG
"Sodium, Na", 26.00, MG
"Copper, Cu", 0.028, MG
"Manganese, Mn", 0.000, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tryptophan", 0.054, G
"Threonine", 0.328, G
"Methionine", 0.214, G
"Phenylalanine", 0.324, G
"Tyrosine", 0.262, G
"Alanine", 0.499, G
"Glutamic acid", 1.233, G
"Glycine", 0.500, G
"Proline", 0.391, G
"Hydroxyproline", 0.086, G
"Water", 20.21, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 26.00, MG
"Potassium, K", 96.00, MG
"Zinc, Zn", 0.82, MG
"Selenium, Se", 6.6, UG
"Vitamin E", 0.00, MG
"Isoleucine", 0.374, G
"Leucine", 0.653, G
"Lysine", 0.694, G
"Cystine", 0.106, G
"Valine", 0.407, G
"Arginine", 0.531, G
"Histidine", 0.262, G
"Aspartic acid", 0.748, G
"Serine", 0.323, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Niacin", 1.437, MG
"Pantothenic acid", 0.163, MG
"Vitamin B6", 0.108, MG
"Docosenoic acid", 0.000, G
"Folate, DFE", 0.00, UG
"Vitamin D (D2 + D3), International Units", 11.00, IU
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin D3", 0.30, UG
"Vitamin D", 0.30, UG
"Fiber", 0.0, G
"Vitamin C", 0.0, MG
"Hexadecenoic acid", 3.880, G
"Dodecanoic acid", 0.210, G
"Tetradecanoic acid", 2.390, G
"Cholesterol", 99.00, MG
"Saturated fatty acids", 29.450, G
"Decanoic acid", 0.310, G
"Hexadecanoic acid", 17.730, G
"Octadecanoic acid", 8.810, G
"Octadecenoic acid", 26.950, G
"Octadecadienoic acid", 1.490, G
"Octadecatrienoic acid", 1.070, G
"Eicosatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.110, G
"Monounsaturated fatty acids", 30.940, G
"Polyunsaturated fatty acids", 2.560, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
