charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beets, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 43.00, KCAL
"Fat", 0.17, G
"Protein", 1.61, G
"Carbohydrate", 9.56, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, food", 109.00, UG
"Saturated fatty acids", 0.027, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Fiber", 2.8, G
"Vitamin A, RAE", 2.00, UG
"Vitamin A", 33.00, IU
"Choline", 6.0, MG
"Folate, DFE", 109.00, UG
"Betaine", 128.7, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.026, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.032, G
"Octadecadienoic acid", 0.055, G
"Octadecatrienoic acid", 0.005, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.032, G
"Polyunsaturated fatty acids", 0.060, G
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Water", 87.58, G
"Calcium, Ca", 16.00, MG
"Potassium, K", 325.00, MG
"Zinc, Zn", 0.35, MG
"Isoleucine", 0.048, G
"Leucine", 0.068, G
"Lysine", 0.058, G
"Cystine", 0.019, G
"Valine", 0.056, G
"Arginine", 0.042, G
"Histidine", 0.021, G
"Aspartic acid", 0.116, G
"Serine", 0.059, G
"Niacin", 0.334, MG
"Pantothenic acid", 0.155, MG
"Vitamin B6", 0.067, MG
"Vitamin C", 4.9, MG
"Thiamin", 0.031, MG
"Riboflavin", 0.040, MG
"Folate", 109.00, UG
"Ash", 1.08, G
"Iron, Fe", 0.80, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 40.00, MG
"Sodium, Na", 78.00, MG
"Copper, Cu", 0.075, MG
"Manganese, Mn", 0.329, MG
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.019, G
"Threonine", 0.047, G
"Methionine", 0.018, G
"Phenylalanine", 0.046, G
"Tyrosine", 0.038, G
"Alanine", 0.060, G
"Glutamic acid", 0.428, G
"Glycine", 0.031, G
"Proline", 0.042, G
"Phytosterols", 25.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.04, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 6.76, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 20.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.2, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.7, UG
"Tocopherol, alpha", 0.04, MG
# Downloaded from https://www.nutritionvalue.org 
