charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, chicory, instant, coffee
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 3.00, KCAL
"Fat", 0.00, G
"Protein", 0.09, G
"Carbohydrate", 0.75, G
"Water", 98.94, G
"Caffeine", 21.00, MG
"Selenium, Se", 0.1, UG
"Niacin", 0.218, MG
"Pantothenic acid", 0.001, MG
"Vitamin B6", 0.000, MG
"Folic acid", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.003, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Ash", 0.17, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Calcium, Ca", 4.00, MG
"Potassium, K", 35.00, MG
"Zinc, Zn", 0.01, MG
"Folate, DFE", 0.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.001, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.001, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.001, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Iron, Fe", 0.05, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 3.00, MG
"Sodium, Na", 7.00, MG
"Copper, Cu", 0.010, MG
"Manganese, Mn", 0.012, MG
"Vitamin K", 0.0, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.001, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
