charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, decaffeinated, prepared with tap water, brewed, coffee
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 0.00, KCAL
"Fat", 0.00, G
"Protein", 0.10, G
"Carbohydrate", 0.00, G
"Fiber", 0.0, G
"Alcohol, ethyl", 0.0, G
"Manganese, Mn", 0.027, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Tryptophan", 0.000, G
"Threonine", 0.001, G
"Methionine", 0.000, G
"Phenylalanine", 0.003, G
"Tyrosine", 0.002, G
"Alanine", 0.003, G
"Glutamic acid", 0.020, G
"Glycine", 0.004, G
"Proline", 0.004, G
"Vitamin B12", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Cholesterol", 0.00, MG
"Caffeine", 1.00, MG
"Isoleucine", 0.002, G
"Leucine", 0.005, G
"Lysine", 0.001, G
"Cystine", 0.002, G
"Valine", 0.003, G
"Arginine", 0.001, G
"Histidine", 0.002, G
"Aspartic acid", 0.005, G
"Serine", 0.001, G
"Pantothenic acid", 0.001, MG
"Butanoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Folic acid", 0.00, UG
"Theobromine", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fluoride, F", 52.4, UG
"Selenium, Se", 0.1, UG
"Vitamin B6", 0.000, MG
"Hexanoic acid", 0.000, G
"Octadecadienoic acid", 0.002, G
"Eicosanoic acid", 0.000, G
"Hexadecanoic acid", 0.001, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.002, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.01, MG
"Niacin", 0.222, MG
"Sugars", 0.00, G
"Calcium, Ca", 2.00, MG
"Potassium, K", 54.00, MG
"Zinc, Zn", 0.02, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 99.30, G
"Ash", 0.10, G
"Fructose", 0.00, G
"Lactose", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Vitamin K", 0.1, UG
"Folate, food", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Galactose", 0.00, G
"Iron, Fe", 0.05, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 1.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.007, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.002, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Cis-octadecenoic acid", 0.015, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.00, G
"Retinol", 0.00, UG
"Vitamin E", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Choline", 1.0, MG
"Folate, DFE", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
