charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, decaffeinated, restaurant-prepared, espresso, brewed, coffee
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 9.00, KCAL
"Fat", 0.18, G
"Protein", 0.10, G
"Carbohydrate", 1.69, G
"Caffeine", 1.00, MG
"Calcium, Ca", 2.00, MG
"Potassium, K", 115.00, MG
"Zinc, Zn", 0.05, MG
"Selenium, Se", 0.0, UG
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.092, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.092, G
"Niacin", 5.207, MG
"Pantothenic acid", 0.028, MG
"Vitamin B6", 0.002, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.046, G
"Octadecanoic acid", 0.000, G
"Fiber", 0.0, G
"Iron, Fe", 0.13, MG
"Magnesium, Mg", 80.00, MG
"Phosphorus, P", 7.00, MG
"Sodium, Na", 14.00, MG
"Copper, Cu", 0.050, MG
"Manganese, Mn", 0.050, MG
"Vitamin A", 0.00, IU
"Ash", 0.23, G
"Alcohol, ethyl", 0.0, G
"Cholesterol", 0.00, MG
"Vitamin C", 0.2, MG
"Thiamin", 0.001, MG
"Riboflavin", 0.177, MG
"Folate", 1.00, UG
"Vitamin B12", 0.00, UG
"Saturated fatty acids", 0.092, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Theobromine", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin K", 0.1, UG
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Cis-octadecenoic acid", 0.015, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Folic acid", 0.00, UG
"Sugars", 0.00, G
"Water", 97.80, G
"Folate, food", 1.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Folate, DFE", 1.00, UG
"Choline", 1.0, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
