charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, no caffeine, lemon-lime soda, carbonated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 41.00, KCAL
"Fat", 0.00, G
"Protein", 0.09, G
"Carbohydrate", 10.42, G
"Cholesterol", 0.00, MG
"Fiber", 0.0, G
"Alcohol, ethyl", 0.0, G
"Vitamin A", 0.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Selenium, Se", 0.0, UG
"Niacin", 0.015, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Theobromine", 0.00, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 4.32, G
"Water", 89.49, G
"Calcium, Ca", 2.00, MG
"Potassium, K", 1.00, MG
"Zinc, Zn", 0.01, MG
"Ash", 0.00, G
"Fructose", 5.87, G
"Iron, Fe", 0.02, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 10.00, MG
"Copper, Cu", 0.000, MG
"Manganese, Mn", 0.000, MG
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Retinol", 0.00, UG
"Caffeine", 0.00, MG
"Sugars", 10.38, G
"Fatty acids, total trans", 0.000, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Vitamin D", 0.00, UG
"Folate, DFE", 0.00, UG
"Choline", 0.4, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
