charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, well, tap, water
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 0.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Fiber", 0.0, G
"Copper, Cu", 0.016, MG
"Fluoride, F", 25.8, UG
"Fatty acids, total trans", 0.000, G
"Water", 99.90, G
"Calcium, Ca", 3.00, MG
"Potassium, K", 0.00, MG
"Zinc, Zn", 0.01, MG
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 5.00, MG
"Manganese, Mn", 0.000, MG
"Ash", 0.10, G
# Downloaded from https://www.nutritionvalue.org 
