charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, yellow green colored citrus soft drink with caffeine
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 49.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 12.83, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Sodium, Na", 18.00, MG
"Vitamin D", 0.00, UG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin C", 0.0, MG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Caffeine", 15.00, MG
"Theobromine", 0.00, MG
"Sugars", 12.90, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Folate, DFE", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Potassium, K", 2.00, MG
"Water", 86.89, G
"Phosphorus, P", 0.00, MG
"Iron, Fe", 0.02, MG
"Magnesium, Mg", 3.00, MG
"Copper, Cu", 0.005, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Ash", 0.28, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Fatty acids, total trans", 0.000, G
"Thiamin", 0.025, MG
"Riboflavin", 0.340, MG
"Vitamin K", 0.0, UG
"Folate, food", 0.00, UG
"Vitamin E", 0.00, MG
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 2.000, MG
"Vitamin B6", 0.200, MG
"Choline", 0.3, MG
"Folic acid", 0.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Zinc, Zn", 0.00, MG
"Selenium, Se", 0.2, UG
"Calcium, Ca", 13.00, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
