charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Biscuits, prepared, dry mix, plain or buttermilk
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 335.00, KCAL
"Fat", 12.10, G
"Protein", 7.30, G
"Carbohydrate", 48.40, G
"Folate, DFE", 84.00, UG
"Folic acid", 46.00, UG
"Retinol", 25.00, UG
"Vitamin A, RAE", 26.00, UG
"Fiber", 1.8, G
"Iron, Fe", 2.05, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 470.00, MG
"Sodium, Na", 955.00, MG
"Copper, Cu", 0.116, MG
"Manganese, Mn", 0.249, MG
"Vitamin A", 94.00, IU
"Vitamin C", 0.4, MG
"Thiamin", 0.350, MG
"Riboflavin", 0.357, MG
"Ash", 3.30, G
"Vitamin B12", 0.21, UG
"Folate, food", 6.00, UG
"Tryptophan", 0.091, G
"Threonine", 0.234, G
"Methionine", 0.139, G
"Phenylalanine", 0.355, G
"Tyrosine", 0.245, G
"Alanine", 0.239, G
"Glutamic acid", 2.172, G
"Glycine", 0.232, G
"Proline", 0.791, G
"Cholesterol", 4.00, MG
"Saturated fatty acids", 2.789, G
"Octanoic acid", 0.010, G
"Dodecanoic acid", 0.027, G
"Tetradecanoic acid", 0.096, G
"Hexadecenoic acid", 0.021, G
"Water", 28.90, G
"Calcium, Ca", 185.00, MG
"Potassium, K", 188.00, MG
"Zinc, Zn", 0.61, MG
"Isoleucine", 0.296, G
"Leucine", 0.549, G
"Lysine", 0.267, G
"Cystine", 0.133, G
"Valine", 0.339, G
"Arginine", 0.281, G
"Histidine", 0.167, G
"Aspartic acid", 0.373, G
"Serine", 0.364, G
"Butanoic acid", 0.031, G
"Hexanoic acid", 0.018, G
"Decanoic acid", 0.024, G
"Hexadecanoic acid", 1.360, G
"Octadecanoic acid", 1.221, G
"Octadecenoic acid", 4.183, G
"Octadecadienoic acid", 4.045, G
"Octadecatrienoic acid", 0.260, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.206, G
"Polyunsaturated fatty acids", 4.305, G
"Niacin", 3.021, MG
"Pantothenic acid", 0.548, MG
"Vitamin B6", 0.068, MG
"Selenium, Se", 6.2, UG
"Folate", 52.00, UG
# Downloaded from https://www.nutritionvalue.org 
