charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Blackberries, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 43.00, KCAL
"Fat", 0.49, G
"Protein", 1.39, G
"Carbohydrate", 9.61, G
"Folic acid", 0.00, UG
"Zinc, Zn", 0.53, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 1.17, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.012, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.044, G
"Octadecadienoic acid", 0.186, G
"Octadecatrienoic acid", 0.094, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.004, G
"Docosenoic acid", 0.000, G
"Theobromine", 0.00, MG
"Sugars", 4.88, G
"Calcium, Ca", 29.00, MG
"Lutein + zeaxanthin", 118.00, UG
"Tocopherol, beta", 0.04, MG
"Tocopherol, gamma", 1.34, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.646, MG
"Pantothenic acid", 0.276, MG
"Vitamin B6", 0.030, MG
"Sucrose", 0.07, G
"Glucose (dextrose)", 2.31, G
"Maltose", 0.07, G
"Water", 88.15, G
"Caffeine", 0.00, MG
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Ash", 0.37, G
"Starch", 0.00, G
"Fructose", 2.40, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.03, G
"Fiber", 5.3, G
"Iron, Fe", 0.62, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 22.00, MG
"Copper, Cu", 0.165, MG
"Manganese, Mn", 0.646, MG
"Vitamin A", 214.00, IU
"Vitamin A, RAE", 11.00, UG
"Carotene, beta", 128.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.90, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Thiamin", 0.020, MG
"Riboflavin", 0.026, MG
"Folate", 25.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 19.8, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, DFE", 25.00, UG
"Betaine", 0.3, MG
"Monounsaturated fatty acids", 0.047, G
"Polyunsaturated fatty acids", 0.280, G
"Choline", 8.5, MG
"Saturated fatty acids", 0.014, G
"Folate, food", 25.00, UG
"Sodium, Na", 1.00, MG
"Potassium, K", 162.00, MG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin C", 21.0, MG
"Vitamin B12", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 1.17, MG
# Downloaded from https://www.nutritionvalue.org 
