charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Blueberries, frozen, wild
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 57.00, KCAL
"Fat", 0.16, G
"Protein", 0.00, G
"Carbohydrate", 13.85, G
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin D", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.030, G
"Vitamin C", 1.7, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.007, MG
"Ash", 0.19, G
"Fructose", 3.71, G
"Lactose", 0.00, G
"Fiber", 4.4, G
"Iron, Fe", 0.58, MG
"Magnesium, Mg", 7.00, MG
"Phosphorus, P", 13.00, MG
"Sodium, Na", 3.00, MG
"Manganese, Mn", 2.870, MG
"Vitamin A", 59.00, IU
"Vitamin A, RAE", 3.00, UG
"Carotene, beta", 35.00, UG
"Carotene, alpha", 2.00, UG
"Niacin", 0.610, MG
"Vitamin B6", 0.020, MG
"Monounsaturated fatty acids", 0.020, G
"Polyunsaturated fatty acids", 0.090, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 3.33, G
"Maltose", 0.00, G
"Water", 85.80, G
"Calcium, Ca", 17.00, MG
"Potassium, K", 68.00, MG
"Zinc, Zn", 0.67, MG
"Vitamin E", 0.26, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
