charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Blueberries, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 57.00, KCAL
"Fat", 0.33, G
"Protein", 0.74, G
"Carbohydrate", 14.49, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Potassium, K", 77.00, MG
"Sodium, Na", 1.00, MG
"Vitamin C", 9.7, MG
"Choline", 6.0, MG
"Betaine", 0.2, MG
"Retinol", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Folate, food", 6.00, UG
"Folate, DFE", 6.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Octadecadienoic acid", 0.088, G
"Octadecatrienoic acid", 0.058, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.047, G
"Polyunsaturated fatty acids", 0.146, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.017, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.047, G
"Isoleucine", 0.023, G
"Leucine", 0.044, G
"Lysine", 0.013, G
"Cystine", 0.008, G
"Valine", 0.031, G
"Arginine", 0.037, G
"Histidine", 0.011, G
"Aspartic acid", 0.057, G
"Serine", 0.022, G
"Zinc, Zn", 0.16, MG
"Selenium, Se", 0.1, UG
"Vitamin E", 0.57, MG
"Lutein + zeaxanthin", 80.00, UG
"Tocopherol, beta", 0.01, MG
"Tocopherol, gamma", 0.36, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.418, MG
"Pantothenic acid", 0.124, MG
"Vitamin B6", 0.052, MG
"Sugars", 9.96, G
"Calcium, Ca", 6.00, MG
"Sucrose", 0.11, G
"Glucose (dextrose)", 4.88, G
"Maltose", 0.00, G
"Water", 84.21, G
"Saturated fatty acids", 0.028, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 19.3, UG
"Thiamin", 0.037, MG
"Riboflavin", 0.041, MG
"Folate", 6.00, UG
"Tryptophan", 0.003, G
"Threonine", 0.020, G
"Methionine", 0.012, G
"Phenylalanine", 0.026, G
"Tyrosine", 0.009, G
"Alanine", 0.031, G
"Glutamic acid", 0.091, G
"Glycine", 0.031, G
"Proline", 0.028, G
"Galactose", 0.00, G
"Fiber", 2.4, G
"Iron, Fe", 0.28, MG
"Magnesium, Mg", 6.00, MG
"Phosphorus, P", 12.00, MG
"Copper, Cu", 0.057, MG
"Manganese, Mn", 0.336, MG
"Vitamin A", 54.00, IU
"Vitamin A, RAE", 3.00, UG
"Carotene, beta", 32.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.03, MG
"Tocotrienol, gamma", 0.07, MG
"Tocotrienol, delta", 0.00, MG
"Ash", 0.24, G
"Starch", 0.03, G
"Fructose", 4.97, G
"Lactose", 0.00, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.57, MG
# Downloaded from https://www.nutritionvalue.org 
