charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, egg
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 287.00, KCAL
"Fat", 6.00, G
"Protein", 9.50, G
"Carbohydrate", 47.80, G
"Vitamin A, RAE", 63.00, UG
"Vitamin A", 211.00, IU
"Docosanoic acid", 0.004, G
"Tetradecenoic acid", 0.003, G
"Heptadecanoic acid", 0.006, G
"Tetracosanoic acid", 0.001, G
"Sugars", 1.78, G
"Vitamin E, added", 0.00, MG
"Eicosanoic acid", 0.003, G
"Alcohol, ethyl", 0.0, G
"Fiber", 2.3, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.26, MG
"Lutein + zeaxanthin", 45.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Retinol", 63.00, UG
"Folate", 105.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.9, UG
"Folate, DFE", 130.00, UG
"Folic acid", 35.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin D (D2 + D3), International Units", 16.00, IU
"Choline", 84.3, MG
"Copper, Cu", 0.162, MG
"Manganese, Mn", 0.500, MG
"Ash", 1.80, G
"Iron, Fe", 3.04, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 106.00, MG
"Cholesterol", 51.00, MG
"Folate, food", 70.00, UG
"Tryptophan", 0.112, G
"Threonine", 0.306, G
"Methionine", 0.189, G
"Phenylalanine", 0.475, G
"Tyrosine", 0.292, G
"Alanine", 0.356, G
"Glutamic acid", 2.856, G
"Glycine", 0.336, G
"Proline", 0.947, G
"Vitamin C", 0.0, MG
"Thiamin", 0.438, MG
"Riboflavin", 0.436, MG
"Vitamin B12", 0.10, UG
"Dodecanoic acid", 0.001, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 7.00, MG
"Water", 34.70, G
"Calcium, Ca", 93.00, MG
"Potassium, K", 115.00, MG
"Zinc, Zn", 0.79, MG
"Isoleucine", 0.394, G
"Leucine", 0.692, G
"Lysine", 0.311, G
"Cystine", 0.208, G
"Valine", 0.443, G
"Arginine", 0.385, G
"Histidine", 0.210, G
"Aspartic acid", 0.522, G
"Serine", 0.501, G
"Niacin", 4.848, MG
"Pantothenic acid", 0.282, MG
"Vitamin B6", 0.064, MG
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Sodium, Na", 380.00, MG
"Vitamin D", 0.40, UG
"Saturated fatty acids", 1.593, G
"Tetradecanoic acid", 0.020, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.108, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Octanoic acid", 0.001, G
"Hexadecanoic acid", 1.082, G
"Octadecanoic acid", 0.463, G
"Octadecenoic acid", 2.182, G
"Octadecadienoic acid", 0.998, G
"Octadecatrienoic acid", 0.048, G
"Eicosatetraenoic acid", 0.046, G
"Eicosenoic acid", 0.009, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 2.302, G
"Polyunsaturated fatty acids", 1.106, G
"Decanoic acid", 0.001, G
"Selenium, Se", 30.1, UG
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
