charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, potato
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 266.00, KCAL
"Fat", 3.13, G
"Protein", 12.50, G
"Carbohydrate", 47.07, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Calcium, Ca", 188.00, MG
"Niacin", 1.250, MG
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Alcohol, ethyl", 0.0, G
"Carotene, alpha", 0.00, UG
"Fiber", 6.3, G
"Iron, Fe", 2.25, MG
"Sodium, Na", 375.00, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.188, MG
"Riboflavin", 0.106, MG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Sugars", 9.38, G
"Folate", 126.00, UG
"Vitamin B12", 0.15, UG
"Vitamin K", 6.8, UG
"Folate, food", 92.00, UG
"Tryptophan", 0.081, G
"Threonine", 0.224, G
"Methionine", 0.112, G
"Phenylalanine", 0.285, G
"Tyrosine", 0.213, G
"Alanine", 0.243, G
"Glutamic acid", 1.352, G
"Glycine", 0.204, G
"Copper, Cu", 0.094, MG
"Manganese, Mn", 0.253, MG
"Vitamin A", 89.00, IU
"Retinol", 24.00, UG
"Vitamin A, RAE", 24.00, UG
"Carotene, beta", 6.00, UG
"Magnesium, Mg", 28.00, MG
"Phosphorus, P", 369.00, MG
"Vitamin D", 0.10, UG
"Ash", 3.76, G
"Proline", 0.479, G
"Water", 33.55, G
"Potassium, K", 718.00, MG
"Zinc, Zn", 1.44, MG
"Selenium, Se", 9.5, UG
"Vitamin E", 0.47, MG
"Vitamin D (D2 + D3), International Units", 2.00, IU
"Lutein + zeaxanthin", 17.00, UG
"Pantothenic acid", 0.817, MG
"Vitamin B6", 0.232, MG
"Choline", 18.4, MG
"Folic acid", 33.00, UG
"Folate, DFE", 149.00, UG
"Isoleucine", 0.268, G
"Leucine", 0.440, G
"Lysine", 0.311, G
"Cystine", 0.086, G
"Valine", 0.305, G
"Arginine", 0.265, G
"Histidine", 0.143, G
"Aspartic acid", 0.533, G
"Serine", 0.275, G
"Tocopherol, alpha", 0.47, MG
# Downloaded from https://www.nutritionvalue.org 
