charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, rye
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 259.00, KCAL
"Fat", 3.30, G
"Protein", 8.50, G
"Carbohydrate", 48.30, G
"Fiber", 5.8, G
"Retinol", 0.00, UG
"Carotene, beta", 4.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 1.2, UG
"Folate", 110.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 54.00, UG
"Vitamin E", 0.33, MG
"Fluoride, F", 51.0, UG
"Folic acid", 59.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin A", 7.00, IU
"Choline", 14.6, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Folate, DFE", 151.00, UG
"Sugars", 3.85, G
"Ash", 2.50, G
"Copper, Cu", 0.186, MG
"Manganese, Mn", 0.824, MG
"Iron, Fe", 2.83, MG
"Magnesium, Mg", 40.00, MG
"Phosphorus, P", 125.00, MG
"Folate, food", 51.00, UG
"Tryptophan", 0.096, G
"Threonine", 0.255, G
"Methionine", 0.139, G
"Phenylalanine", 0.411, G
"Tyrosine", 0.213, G
"Alanine", 0.299, G
"Glutamic acid", 2.603, G
"Glycine", 0.302, G
"Proline", 0.909, G
"Hexadecenoic acid", 0.012, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.011, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.626, G
"Vitamin B12", 0.00, UG
"Thiamin", 0.434, MG
"Riboflavin", 0.335, MG
"Monounsaturated fatty acids", 1.311, G
"Polyunsaturated fatty acids", 0.799, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.385, G
"Octadecanoic acid", 0.230, G
"Octadecenoic acid", 1.296, G
"Octadecadienoic acid", 0.739, G
"Octadecatrienoic acid", 0.060, G
"Eicosenoic acid", 0.003, G
"Calcium, Ca", 73.00, MG
"Potassium, K", 166.00, MG
"Zinc, Zn", 1.14, MG
"Water", 37.30, G
"Niacin", 3.805, MG
"Pantothenic acid", 0.440, MG
"Vitamin B6", 0.075, MG
"Isoleucine", 0.319, G
"Leucine", 0.579, G
"Lysine", 0.233, G
"Cystine", 0.173, G
"Valine", 0.379, G
"Arginine", 0.325, G
"Histidine", 0.182, G
"Aspartic acid", 0.442, G
"Serine", 0.417, G
"Sodium, Na", 603.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 30.9, UG
"Vitamin C", 0.4, MG
"Tocopherol, alpha", 0.33, MG
# Downloaded from https://www.nutritionvalue.org 
