charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, toasted, egg
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 315.00, KCAL
"Fat", 6.60, G
"Protein", 10.50, G
"Carbohydrate", 52.60, G
"Fiber", 2.5, G
"Alcohol, ethyl", 0.0, G
"Vitamin A", 231.00, IU
"Retinol", 69.00, UG
"Vitamin A, RAE", 69.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 1.0, UG
"Lutein + zeaxanthin", 46.00, UG
"Vitamin E", 0.29, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Choline", 91.9, MG
"Sugars", 1.94, G
"Vitamin D (D2 + D3), International Units", 21.00, IU
"Vitamin D", 0.50, UG
"Folic acid", 44.00, UG
"Folate, DFE", 128.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Folate, food", 54.00, UG
"Sodium, Na", 417.00, MG
"Folate", 98.00, UG
"Water", 28.30, G
"Calcium, Ca", 102.00, MG
"Potassium, K", 126.00, MG
"Zinc, Zn", 0.86, MG
"Isoleucine", 0.433, G
"Leucine", 0.760, G
"Lysine", 0.342, G
"Cystine", 0.229, G
"Niacin", 4.795, MG
"Pantothenic acid", 0.202, MG
"Vitamin B6", 0.064, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.972, G
"Octadecanoic acid", 0.601, G
"Octadecenoic acid", 2.911, G
"Octadecadienoic acid", 1.067, G
"Octadecatrienoic acid", 0.057, G
"Eicosatetraenoic acid", 0.019, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.004, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 2.989, G
"Polyunsaturated fatty acids", 1.149, G
"Valine", 0.487, G
"Arginine", 0.423, G
"Histidine", 0.230, G
"Aspartic acid", 0.574, G
"Serine", 0.551, G
"Ash", 2.00, G
"Copper, Cu", 0.178, MG
"Manganese, Mn", 0.549, MG
"Iron, Fe", 3.34, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 117.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.385, MG
"Riboflavin", 0.432, MG
"Tryptophan", 0.123, G
"Threonine", 0.336, G
"Methionine", 0.208, G
"Vitamin B12", 0.11, UG
"Cholesterol", 56.00, MG
"Saturated fatty acids", 1.616, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.025, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.072, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 8.00, MG
"Phenylalanine", 0.522, G
"Tyrosine", 0.321, G
"Alanine", 0.391, G
"Glutamic acid", 3.139, G
"Glycine", 0.370, G
"Proline", 1.041, G
"Selenium, Se", 32.9, UG
"Tocopherol, alpha", 0.29, MG
# Downloaded from https://www.nutritionvalue.org 
