charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, toasted, rye
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 284.00, KCAL
"Fat", 3.60, G
"Protein", 9.40, G
"Carbohydrate", 53.10, G
"Fiber", 6.4, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folic acid", 64.00, UG
"Lutein + zeaxanthin", 56.00, UG
"Vitamin E", 0.37, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 4.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Folate", 103.00, UG
"Vitamin K", 1.3, UG
"Folate, DFE", 148.00, UG
"Choline", 16.1, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Alcohol, ethyl", 0.0, G
"Calcium, Ca", 80.00, MG
"Potassium, K", 183.00, MG
"Zinc, Zn", 1.25, MG
"Isoleucine", 0.351, G
"Leucine", 0.637, G
"Lysine", 0.256, G
"Cystine", 0.190, G
"Valine", 0.417, G
"Arginine", 0.358, G
"Histidine", 0.200, G
"Aspartic acid", 0.486, G
"Serine", 0.458, G
"Water", 31.00, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.423, G
"Octadecanoic acid", 0.253, G
"Niacin", 3.763, MG
"Pantothenic acid", 0.314, MG
"Vitamin B6", 0.074, MG
"Octadecenoic acid", 1.425, G
"Octadecadienoic acid", 0.812, G
"Octadecatrienoic acid", 0.066, G
"Monounsaturated fatty acids", 1.440, G
"Polyunsaturated fatty acids", 0.879, G
"Eicosenoic acid", 0.003, G
"Ash", 2.70, G
"Vitamin B12", 0.00, UG
"Copper, Cu", 0.204, MG
"Manganese, Mn", 0.905, MG
"Vitamin C", 0.2, MG
"Thiamin", 0.382, MG
"Riboflavin", 0.332, MG
"Iron, Fe", 3.10, MG
"Magnesium, Mg", 43.00, MG
"Phosphorus, P", 138.00, MG
"Folate, food", 39.00, UG
"Tryptophan", 0.105, G
"Threonine", 0.281, G
"Methionine", 0.153, G
"Phenylalanine", 0.451, G
"Tyrosine", 0.235, G
"Alanine", 0.328, G
"Glutamic acid", 2.861, G
"Glycine", 0.331, G
"Proline", 0.999, G
"Hexadecenoic acid", 0.013, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.012, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.688, G
"Sodium, Na", 664.00, MG
"Vitamin A", 4.00, IU
"Sugars", 4.23, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 34.0, UG
"Tocopherol, alpha", 0.37, MG
# Downloaded from https://www.nutritionvalue.org 
