charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, toasted, wheat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 313.00, KCAL
"Fat", 4.27, G
"Protein", 12.96, G
"Carbohydrate", 55.77, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Choline", 22.1, MG
"Folate, DFE", 100.00, UG
"Sugars", 6.42, G
"Sodium, Na", 601.00, MG
"Octadecanoic acid", 0.405, G
"Eicosanoic acid", 0.012, G
"Octadecenoic acid", 0.982, G
"Octadecadienoic acid", 1.560, G
"Octadecatrienoic acid", 0.161, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.017, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 1.019, G
"Polyunsaturated fatty acids", 1.720, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Folic acid", 20.00, UG
"Isoleucine", 0.258, G
"Leucine", 0.461, G
"Lysine", 0.215, G
"Cystine", 0.154, G
"Valine", 0.310, G
"Arginine", 0.311, G
"Histidine", 0.150, G
"Aspartic acid", 0.348, G
"Serine", 0.310, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.547, G
"Water", 24.23, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Calcium, Ca", 165.00, MG
"Potassium, K", 223.00, MG
"Zinc, Zn", 1.47, MG
"Selenium, Se", 33.4, UG
"Vitamin E", 0.24, MG
"Lutein + zeaxanthin", 50.00, UG
"Niacin", 6.250, MG
"Pantothenic acid", 0.456, MG
"Vitamin B6", 0.153, MG
"Vitamin B12", 0.00, UG
"Vitamin K", 5.7, UG
"Folate, food", 65.00, UG
"Tryptophan", 0.092, G
"Threonine", 0.299, G
"Methionine", 0.105, G
"Phenylalanine", 0.315, G
"Tyrosine", 0.165, G
"Alanine", 0.245, G
"Glutamic acid", 2.060, G
"Glycine", 0.262, G
"Proline", 0.682, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.989, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.008, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.014, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.021, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.002, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.16, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.2, MG
"Thiamin", 0.439, MG
"Riboflavin", 0.382, MG
"Folate", 86.00, UG
"Copper, Cu", 0.198, MG
"Manganese, Mn", 1.377, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Ash", 2.77, G
"Alcohol, ethyl", 0.0, G
"Fiber", 4.7, G
"Iron, Fe", 4.09, MG
"Magnesium, Mg", 59.00, MG
"Phosphorus, P", 188.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.24, MG
# Downloaded from https://www.nutritionvalue.org 
