charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Bread, wheat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 274.00, KCAL
"Fat", 4.53, G
"Protein", 10.67, G
"Carbohydrate", 47.54, G
"Lycopene", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A", 2.00, IU
"Lactose", 0.00, G
"Galactose", 0.00, G
"Tocopherol, delta", 0.33, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Carotene, beta", 1.00, UG
"Carotene, alpha", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tetracosanoic acid", 0.004, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.002, G
"Cryptoxanthin, beta", 0.00, UG
"Eicosadienoic n-3 acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Pentadecanoic acid", 0.003, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.006, G
"Cis,cis-eicosadienoic n-6 acid", 0.001, G
"Fatty acids, total trans-polyenoic", 0.006, G
"Eicosadienoic n-6 acid", 0.000, G
"Sucrose", 0.00, G
"Tocopherol, beta", 0.06, MG
"Tocopherol, gamma", 1.54, MG
"Tocotrienol, alpha", 0.11, MG
"Betaine", 85.2, MG
"Trans-octadecatrienoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.15, G
"Fatty acids, total trans-monoenoic", 0.027, G
"Iron, Fe", 3.60, MG
"Magnesium, Mg", 41.00, MG
"Phosphorus, P", 129.00, MG
"Sodium, Na", 473.00, MG
"Copper, Cu", 0.148, MG
"Manganese, Mn", 1.026, MG
"Ash", 2.01, G
"Starch", 36.34, G
"Fructose", 2.33, G
"Thiamin", 0.411, MG
"Riboflavin", 0.252, MG
"Cis-octadecenoic acid", 0.550, G
"Cis,cis-octadecadienoic n-6 acid", 1.442, G
"Heptadecanoic acid", 0.006, G
"Hexadecenoic acid", 0.019, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosanoic acid", 0.007, G
"Fatty acids, total trans", 0.033, G
"Saturated fatty acids", 0.697, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.008, G
"Tetradecanoic acid", 0.007, G
"Sugars", 5.73, G
"Calcium, Ca", 125.00, MG
"Potassium, K", 141.00, MG
"Zinc, Zn", 1.04, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.440, G
"Octadecanoic acid", 0.213, G
"Eicosanoic acid", 0.007, G
"Octadecenoic acid", 0.577, G
"Octadecadienoic acid", 1.448, G
"Octadecatrienoic acid", 0.161, G
"Eicosatetraenoic acid", 0.000, G
"Cis-hexadecenoic acid", 0.019, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.005, G
"Octadecadienoic CLAs acid", 0.000, G
"Trans-octadecenoic acid", 0.027, G
"Monounsaturated fatty acids", 0.612, G
"Polyunsaturated fatty acids", 1.615, G
"Eicosenoic acid", 0.014, G
"Niacin", 5.590, MG
"Glucose (dextrose)", 1.66, G
"Maltose", 1.74, G
"Water", 35.25, G
"Folate, DFE", 99.00, UG
"Vitamin B6", 0.111, MG
"Fiber", 4.0, G
"Alcohol, ethyl", 0.0, G
"Folate", 85.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 4.9, UG
"Folate, food", 65.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin A, RAE", 0.00, UG
"Vitamin C", 0.2, MG
"Selenium, Se", 28.8, UG
"Vitamin E", 0.19, MG
"Lutein + zeaxanthin", 44.00, UG
"Pantothenic acid", 0.820, MG
"Vitamin E, added", 0.00, MG
"Choline", 18.7, MG
"Folic acid", 20.00, UG
"Eicosadienoic acid", 0.000, G
"Retinol", 0.00, UG
"Tetradecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.19, MG
# Downloaded from https://www.nutritionvalue.org 
