charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Broccoli, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 34.00, KCAL
"Fat", 0.37, G
"Protein", 2.82, G
"Carbohydrate", 6.64, G
"Monounsaturated fatty acids", 0.031, G
"Polyunsaturated fatty acids", 0.112, G
"Hexadecanoic acid", 0.084, G
"Octadecanoic acid", 0.018, G
"Eicosanoic acid", 0.006, G
"Octadecenoic acid", 0.029, G
"Octadecadienoic acid", 0.049, G
"Octadecatrienoic acid", 0.063, G
"Heptadecenoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Docosanoic acid", 0.004, G
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.114, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Starch", 0.00, G
"Folate, food", 63.00, UG
"Betaine", 0.1, MG
"Choline", 18.7, MG
"Sugars", 1.70, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Isoleucine", 0.079, G
"Leucine", 0.129, G
"Lysine", 0.135, G
"Cystine", 0.028, G
"Valine", 0.125, G
"Arginine", 0.191, G
"Histidine", 0.059, G
"Aspartic acid", 0.325, G
"Serine", 0.121, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Sucrose", 0.10, G
"Glucose (dextrose)", 0.49, G
"Maltose", 0.21, G
"Water", 89.30, G
"Calcium, Ca", 47.00, MG
"Potassium, K", 316.00, MG
"Zinc, Zn", 0.41, MG
"Selenium, Se", 2.5, UG
"Vitamin E", 0.78, MG
"Tocopherol, beta", 0.01, MG
"Tocopherol, gamma", 0.17, MG
"Tocotrienol, alpha", 0.04, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.639, MG
"Pantothenic acid", 0.573, MG
"Vitamin B6", 0.175, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Fructose", 0.68, G
"Lactose", 0.21, G
"Ash", 0.87, G
"Carotene, alpha", 25.00, UG
"Galactose", 0.00, G
"Fiber", 2.6, G
"Iron, Fe", 0.73, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 66.00, MG
"Sodium, Na", 33.00, MG
"Copper, Cu", 0.049, MG
"Manganese, Mn", 0.210, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 89.2, MG
"Thiamin", 0.071, MG
"Riboflavin", 0.117, MG
"Pentadecenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Tryptophan", 0.033, G
"Threonine", 0.088, G
"Methionine", 0.038, G
"Phenylalanine", 0.117, G
"Tyrosine", 0.050, G
"Alanine", 0.104, G
"Glutamic acid", 0.542, G
"Glycine", 0.089, G
"Proline", 0.110, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin K", 101.6, UG
"Dodecanoic acid", 0.000, G
"Folate", 63.00, UG
"Retinol", 0.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Folate, DFE", 63.00, UG
"Vitamin A", 623.00, IU
"Vitamin A, RAE", 31.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 361.00, UG
"Lutein + zeaxanthin", 1403.00, UG
"Tocopherol, alpha", 0.78, MG
# Downloaded from https://www.nutritionvalue.org 
