charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Butter, salted
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 717.00, KCAL
"Fat", 81.11, G
"Protein", 0.85, G
"Carbohydrate", 0.06, G
"Fiber", 0.0, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Butanoic acid", 3.226, G
"Hexanoic acid", 2.007, G
"Decanoic acid", 2.529, G
"Hexadecanoic acid", 21.697, G
"Octadecanoic acid", 9.999, G
"Eicosanoic acid", 0.138, G
"Eicosenoic acid", 0.100, G
"Trans-octadecenoic acid", 2.982, G
"Octadecadienoic CLAs acid", 0.267, G
"Cis-hexadecenoic acid", 0.961, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.32, G
"Heptadecanoic acid", 0.560, G
"Trans-Octadecadienoic acid", 0.30, G
"Cis-octadecenoic acid", 16.978, G
"Cis,cis-octadecadienoic n-6 acid", 2.166, G
"Octanoic acid", 1.190, G
"Dodecanoic acid", 2.587, G
"Tetradecanoic acid", 7.436, G
"Iron, Fe", 0.02, MG
"Magnesium, Mg", 2.00, MG
"Phosphorus, P", 24.00, MG
"Cholesterol", 215.00, MG
"Vitamin B12", 0.17, UG
"Copper, Cu", 0.000, MG
"Potassium, K", 24.00, MG
"Zinc, Zn", 0.09, MG
"Fluoride, F", 2.8, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Sodium, Na", 643.00, MG
"Folate", 3.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Folate, DFE", 3.00, UG
"Vitamin E", 2.32, MG
"Octadecenoic acid", 19.961, G
"Octadecadienoic acid", 2.728, G
"Octadecatrienoic acid", 0.315, G
"Monounsaturated fatty acids", 21.021, G
"Polyunsaturated fatty acids", 3.043, G
"Fatty acids, total trans-polyenoic", 0.296, G
"Fatty acids, total trans", 3.278, G
"Saturated fatty acids", 51.368, G
"Vitamin K", 7.0, UG
"Folate, food", 3.00, UG
"Vitamin A", 2499.00, IU
"Retinol", 671.00, UG
"Vitamin A, RAE", 684.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Fatty acids, total trans-monoenoic", 2.982, G
"Hexadecenoic acid", 0.961, G
"Vitamin E, added", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D2", 0.00, UG
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Isoleucine", 0.051, G
"Leucine", 0.083, G
"Lysine", 0.067, G
"Cystine", 0.008, G
"Valine", 0.057, G
"Arginine", 0.031, G
"Histidine", 0.023, G
"Aspartic acid", 0.064, G
"Serine", 0.046, G
"Niacin", 0.042, MG
"Pantothenic acid", 0.110, MG
"Vitamin B6", 0.003, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.005, MG
"Riboflavin", 0.034, MG
"Tryptophan", 0.012, G
"Threonine", 0.038, G
"Methionine", 0.021, G
"Phenylalanine", 0.041, G
"Tyrosine", 0.041, G
"Alanine", 0.029, G
"Glutamic acid", 0.178, G
"Glycine", 0.018, G
"Proline", 0.082, G
"Ash", 2.11, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Campesterol", 0.00, MG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Manganese, Mn", 0.000, MG
"Carotene, beta", 158.00, UG
"Carotene, alpha", 0.00, UG
"Docosenoic acid", 0.000, G
"Stigmasterol", 0.00, MG
"Beta-sitosterol", 4.00, MG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Sugars", 0.06, G
"Calcium, Ca", 24.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Water", 16.17, G
"Selenium, Se", 1.0, UG
"Choline", 18.8, MG
"Betaine", 0.3, MG
"Tocopherol, alpha", 2.32, MG
# Downloaded from https://www.nutritionvalue.org 
