charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Butter, without salt
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 717.00, KCAL
"Fat", 81.11, G
"Protein", 0.85, G
"Carbohydrate", 0.06, G
"Folic acid", 0.00, UG
"Eicosanoic acid", 0.138, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Stigmasterol", 0.00, MG
"Beta-sitosterol", 4.00, MG
"Trans-octadecenoic acid", 2.982, G
"Octadecadienoic CLAs acid", 0.267, G
"Cis-hexadecenoic acid", 0.961, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.06, G
"Calcium, Ca", 24.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Magnesium, Mg", 2.00, MG
"Carotene, beta", 158.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Campesterol", 0.00, MG
"Heptadecanoic acid", 0.560, G
"Trans-Octadecadienoic acid", 0.30, G
"Cis-octadecenoic acid", 16.978, G
"Cis,cis-octadecadienoic n-6 acid", 2.166, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.32, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Thiamin", 0.005, MG
"Folate", 3.00, UG
"Vitamin B6", 0.003, MG
"Folate, DFE", 3.00, UG
"Choline", 18.8, MG
"Vitamin E", 2.32, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Vitamin K", 7.0, UG
"Folate, food", 3.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin A", 2499.00, IU
"Retinol", 671.00, UG
"Vitamin A, RAE", 684.00, UG
"Iron, Fe", 0.02, MG
"Phosphorus, P", 24.00, MG
"Vitamin B12", 0.17, UG
"Cholesterol", 215.00, MG
"Octanoic acid", 1.190, G
"Dodecanoic acid", 2.587, G
"Tetradecanoic acid", 7.436, G
"Butanoic acid", 3.226, G
"Hexanoic acid", 2.007, G
"Decanoic acid", 2.529, G
"Hexadecanoic acid", 21.697, G
"Octadecanoic acid", 9.999, G
"Eicosenoic acid", 0.100, G
"Potassium, K", 24.00, MG
"Zinc, Zn", 0.09, MG
"Fluoride, F", 2.8, UG
"Alcohol, ethyl", 0.0, G
"Ash", 0.09, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Monounsaturated fatty acids", 23.430, G
"Polyunsaturated fatty acids", 3.010, G
"Octadecenoic acid", 20.400, G
"Octadecadienoic acid", 1.830, G
"Octadecatrienoic acid", 1.180, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D2", 0.00, UG
"Hexadecenoic acid", 1.820, G
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Saturated fatty acids", 50.489, G
"Isoleucine", 0.051, G
"Leucine", 0.083, G
"Lysine", 0.067, G
"Cystine", 0.008, G
"Valine", 0.057, G
"Arginine", 0.031, G
"Histidine", 0.023, G
"Aspartic acid", 0.064, G
"Serine", 0.046, G
"Niacin", 0.042, MG
"Pantothenic acid", 0.110, MG
"Fiber", 0.0, G
"Riboflavin", 0.034, MG
"Tryptophan", 0.012, G
"Threonine", 0.038, G
"Methionine", 0.021, G
"Phenylalanine", 0.041, G
"Tyrosine", 0.041, G
"Alanine", 0.029, G
"Glutamic acid", 0.178, G
"Glycine", 0.018, G
"Proline", 0.082, G
"Vitamin C", 0.0, MG
"Sodium, Na", 11.00, MG
"Copper, Cu", 0.016, MG
"Manganese, Mn", 0.004, MG
"Water", 16.17, G
"Selenium, Se", 1.0, UG
"Tocopherol, alpha", 2.32, MG
# Downloaded from https://www.nutritionvalue.org 
