charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cabbage, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 25.00, KCAL
"Fat", 0.10, G
"Protein", 1.28, G
"Carbohydrate", 5.80, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Sucrose", 0.08, G
"Glucose (dextrose)", 1.67, G
"Lutein + zeaxanthin", 30.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.04, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.234, MG
"Pantothenic acid", 0.212, MG
"Vitamin B6", 0.124, MG
"Choline", 10.7, MG
"Maltose", 0.01, G
"Water", 92.18, G
"Sugars", 3.20, G
"Calcium, Ca", 40.00, MG
"Potassium, K", 170.00, MG
"Zinc, Zn", 0.18, MG
"Fluoride, F", 1.0, UG
"Selenium, Se", 0.3, UG
"Vitamin E", 0.15, MG
"Folate, DFE", 43.00, UG
"Betaine", 0.4, MG
"Isoleucine", 0.030, G
"Leucine", 0.041, G
"Lysine", 0.044, G
"Cystine", 0.011, G
"Valine", 0.042, G
"Arginine", 0.075, G
"Histidine", 0.022, G
"Aspartic acid", 0.122, G
"Serine", 0.053, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.034, G
"Octadecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.017, G
"Octadecadienoic acid", 0.017, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.017, G
"Polyunsaturated fatty acids", 0.017, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Vitamin C", 36.6, MG
"Thiamin", 0.061, MG
"Riboflavin", 0.040, MG
"Vitamin A, RAE", 5.00, UG
"Carotene, beta", 42.00, UG
"Carotene, alpha", 33.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Ash", 0.64, G
"Starch", 0.00, G
"Fructose", 1.45, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Fiber", 2.5, G
"Iron, Fe", 0.47, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 26.00, MG
"Sodium, Na", 18.00, MG
"Copper, Cu", 0.019, MG
"Manganese, Mn", 0.160, MG
"Vitamin A", 98.00, IU
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 76.0, UG
"Folate, food", 43.00, UG
"Tryptophan", 0.011, G
"Threonine", 0.035, G
"Methionine", 0.012, G
"Phenylalanine", 0.032, G
"Tyrosine", 0.019, G
"Alanine", 0.042, G
"Glutamic acid", 0.294, G
"Glycine", 0.030, G
"Proline", 0.048, G
"Folate", 43.00, UG
"Saturated fatty acids", 0.034, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 11.00, MG
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lycopene", 0.00, UG
"Galactose", 0.00, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.15, MG
# Downloaded from https://www.nutritionvalue.org 
