charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cake, dry mix, chocolate, pudding-type
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 391.00, KCAL
"Fat", 8.14, G
"Protein", 4.60, G
"Carbohydrate", 80.16, G
"Vitamin A", 2.00, IU
"Retinol", 1.00, UG
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 2.2, UG
"Lutein + zeaxanthin", 4.00, UG
"Vitamin E", 0.65, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Choline", 3.3, MG
"Caffeine", 6.00, MG
"Theobromine", 207.00, MG
"Fiber", 2.3, G
"Folate", 54.00, UG
"Sugars", 39.53, G
"Folic acid", 44.00, UG
"Folate, DFE", 85.00, UG
"Hexadecanoic acid", 1.122, G
"Octadecanoic acid", 0.779, G
"Octadecenoic acid", 3.649, G
"Octadecadienoic acid", 2.775, G
"Octadecatrienoic acid", 0.202, G
"Monounsaturated fatty acids", 3.688, G
"Polyunsaturated fatty acids", 2.985, G
"Tetradecanoic acid", 0.011, G
"Hexadecenoic acid", 0.031, G
"Saturated fatty acids", 3.500, G
"Sodium, Na", 866.00, MG
"Ash", 3.20, G
"Copper, Cu", 0.272, MG
"Iron, Fe", 2.92, MG
"Magnesium, Mg", 41.00, MG
"Phosphorus, P", 286.00, MG
"Folate, food", 10.00, UG
"Tryptophan", 0.066, G
"Threonine", 0.156, G
"Methionine", 0.071, G
"Phenylalanine", 0.218, G
"Tyrosine", 0.156, G
"Alanine", 0.167, G
"Glutamic acid", 1.151, G
"Glycine", 0.165, G
"Proline", 0.390, G
"Thiamin", 0.210, MG
"Riboflavin", 0.170, MG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Vitamin B12", 0.50, UG
"Isoleucine", 0.188, G
"Leucine", 0.315, G
"Lysine", 0.208, G
"Cystine", 0.077, G
"Valine", 0.240, G
"Arginine", 0.204, G
"Histidine", 0.092, G
"Aspartic acid", 0.303, G
"Serine", 0.227, G
"Water", 3.90, G
"Calcium, Ca", 133.00, MG
"Potassium, K", 337.00, MG
"Zinc, Zn", 0.78, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Niacin", 2.417, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Cholesterol", 0.00, MG
"Vitamin C", 0.1, MG
"Manganese, Mn", 0.213, MG
"Pantothenic acid", 0.211, MG
"Vitamin B6", 0.031, MG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Selenium, Se", 3.3, UG
"Tocopherol, alpha", 0.65, MG
# Downloaded from https://www.nutritionvalue.org 
