charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cake, dry mix, unenriched, yellow
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 432.00, KCAL
"Fat", 11.60, G
"Protein", 4.40, G
"Carbohydrate", 78.10, G
"Folic acid", 0.00, UG
"Folate, DFE", 9.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Octadecanoic acid", 0.565, G
"Isoleucine", 0.187, G
"Leucine", 0.325, G
"Lysine", 0.197, G
"Cystine", 0.079, G
"Valine", 0.213, G
"Arginine", 0.162, G
"Histidine", 0.094, G
"Aspartic acid", 0.216, G
"Serine", 0.228, G
"Butanoic acid", 0.001, G
"Hexanoic acid", 0.000, G
"Water", 3.70, G
"Calcium, Ca", 135.00, MG
"Potassium, K", 82.00, MG
"Zinc, Zn", 0.27, MG
"Niacin", 0.309, MG
"Pantothenic acid", 0.364, MG
"Vitamin B6", 0.077, MG
"Ash", 2.30, G
"Vitamin C", 0.2, MG
"Thiamin", 0.082, MG
"Riboflavin", 0.049, MG
"Folate", 9.00, UG
"Iron, Fe", 0.48, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 310.00, MG
"Sodium, Na", 657.00, MG
"Copper, Cu", 0.072, MG
"Manganese, Mn", 0.191, MG
"Vitamin A", 1.00, IU
"Folate, food", 9.00, UG
"Tryptophan", 0.061, G
"Threonine", 0.137, G
"Methionine", 0.081, G
"Phenylalanine", 0.204, G
"Tyrosine", 0.144, G
"Alanine", 0.134, G
"Glutamic acid", 1.288, G
"Glycine", 0.132, G
"Proline", 0.463, G
"Cholesterol", 2.00, MG
"Octanoic acid", 0.000, G
"Tetradecanoic acid", 0.014, G
"Octadecenoic acid", 4.802, G
"Octadecadienoic acid", 4.066, G
"Octadecatrienoic acid", 0.301, G
"Monounsaturated fatty acids", 4.860, G
"Polyunsaturated fatty acids", 4.378, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.154, G
"Saturated fatty acids", 1.738, G
"Vitamin B12", 0.10, UG
"Hexadecenoic acid", 0.047, G
"Dodecanoic acid", 0.000, G
"Fiber", 1.1, G
# Downloaded from https://www.nutritionvalue.org 
