charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cake, prepared, dry mix, angelfood
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 257.00, KCAL
"Fat", 0.30, G
"Protein", 6.10, G
"Carbohydrate", 58.70, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.2, G
"Choline", 1.3, MG
"Folate, DFE", 29.00, UG
"Sugars", 30.51, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Folic acid", 14.00, UG
"Lutein + zeaxanthin", 1.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.01, MG
"Folate", 19.00, UG
"Vitamin A", 0.00, IU
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.1, UG
"Retinol", 0.00, UG
"Water", 32.90, G
"Calcium, Ca", 84.00, MG
"Potassium, K", 135.00, MG
"Zinc, Zn", 0.13, MG
"Niacin", 0.171, MG
"Pantothenic acid", 0.110, MG
"Vitamin B6", 0.006, MG
"Isoleucine", 0.324, G
"Leucine", 0.497, G
"Lysine", 0.380, G
"Cystine", 0.154, G
"Valine", 0.368, G
"Arginine", 0.315, G
"Histidine", 0.134, G
"Aspartic acid", 0.561, G
"Serine", 0.402, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.026, G
"Polyunsaturated fatty acids", 0.124, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.039, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.025, G
"Octadecadienoic acid", 0.117, G
"Octadecatrienoic acid", 0.007, G
"Eicosatetraenoic acid", 0.000, G
"Ash", 2.00, G
"Copper, Cu", 0.068, MG
"Manganese, Mn", 0.063, MG
"Iron, Fe", 0.23, MG
"Magnesium, Mg", 8.00, MG
"Phosphorus, P", 232.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.092, MG
"Riboflavin", 0.202, MG
"Folate, food", 5.00, UG
"Tryptophan", 0.077, G
"Threonine", 0.259, G
"Methionine", 0.192, G
"Phenylalanine", 0.343, G
"Tyrosine", 0.226, G
"Alanine", 0.324, G
"Glutamic acid", 0.994, G
"Glycine", 0.211, G
"Proline", 0.306, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.043, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin B12", 0.03, UG
"Sodium, Na", 511.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 15.3, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
