charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cake, prepared from recipe, gingerbread
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 356.00, KCAL
"Fat", 16.40, G
"Protein", 3.90, G
"Carbohydrate", 49.20, G
"Folate, DFE", 51.00, UG
"Folic acid", 25.00, UG
"Retinol", 14.00, UG
"Vitamin A, RAE", 14.00, UG
"Vitamin B12", 0.06, UG
"Folate, food", 8.00, UG
"Tryptophan", 0.047, G
"Threonine", 0.124, G
"Methionine", 0.080, G
"Phenylalanine", 0.195, G
"Tyrosine", 0.125, G
"Alanine", 0.145, G
"Glutamic acid", 1.096, G
"Glycine", 0.136, G
"Proline", 0.372, G
"Cholesterol", 32.00, MG
"Saturated fatty acids", 4.122, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.064, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.022, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Ash", 1.80, G
"Vitamin C", 0.1, MG
"Thiamin", 0.190, MG
"Riboflavin", 0.162, MG
"Iron, Fe", 2.88, MG
"Magnesium, Mg", 70.00, MG
"Phosphorus, P", 54.00, MG
"Sodium, Na", 327.00, MG
"Copper, Cu", 0.195, MG
"Manganese, Mn", 0.683, MG
"Vitamin A", 48.00, IU
"Water", 28.00, G
"Calcium, Ca", 71.00, MG
"Isoleucine", 0.151, G
"Leucine", 0.279, G
"Lysine", 0.131, G
"Cystine", 0.083, G
"Valine", 0.173, G
"Arginine", 0.173, G
"Histidine", 0.087, G
"Aspartic acid", 0.217, G
"Serine", 0.214, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.369, G
"Octadecanoic acid", 1.684, G
"Octadecenoic acid", 7.099, G
"Octadecadienoic acid", 3.948, G
"Octadecatrienoic acid", 0.254, G
"Eicosatetraenoic acid", 0.011, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.002, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 7.124, G
"Polyunsaturated fatty acids", 4.216, G
"Potassium, K", 439.00, MG
"Zinc, Zn", 0.39, MG
"Niacin", 1.738, MG
"Pantothenic acid", 0.375, MG
"Vitamin B6", 0.190, MG
"Selenium, Se", 16.3, UG
"Folate", 33.00, UG
# Downloaded from https://www.nutritionvalue.org 
