charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Candies, butterscotch, confectioner's coating
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 539.00, KCAL
"Fat", 29.05, G
"Protein", 2.20, G
"Carbohydrate", 67.10, G
"Alcohol, ethyl", 0.0, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, alpha", 0.00, UG
"Copper, Cu", 0.003, MG
"Manganese, Mn", 0.002, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Folate", 1.00, UG
"Vitamin B12", 0.10, UG
"Vitamin K", 6.5, UG
"Folate, food", 1.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin C", 0.1, MG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Fiber", 0.0, G
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 31.00, MG
"Vitamin A", 1.00, IU
"Retinol", 0.00, UG
"Pantothenic acid", 0.148, MG
"Vitamin B6", 0.016, MG
"Vitamin E, added", 0.00, MG
"Zinc, Zn", 0.11, MG
"Selenium, Se", 1.3, UG
"Vitamin E", 0.68, MG
"Eicosanoic acid", 0.010, G
"Octadecatetraenoic acid", 0.000, G
"Polyunsaturated fatty acids", 1.041, G
"Octadecadienoic acid", 0.974, G
"Octadecatrienoic acid", 0.034, G
"Eicosatetraenoic acid", 0.034, G
"Calcium, Ca", 34.00, MG
"Iron, Fe", 0.08, MG
"Vitamin D", 0.00, UG
"Ash", 0.90, G
"Saturated fatty acids", 24.100, G
"Sodium, Na", 89.00, MG
"Water", 0.75, G
"Octanoic acid", 1.092, G
"Dodecanoic acid", 13.790, G
"Tetradecanoic acid", 4.674, G
"Fatty acids, total trans", 0.000, G
"Hexadecenoic acid", 0.007, G
"Thiamin", 0.015, MG
"Riboflavin", 0.075, MG
"Sugars", 67.10, G
"Potassium, K", 64.00, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.03, MG
"Niacin", 0.049, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.060, G
"Decanoic acid", 1.076, G
"Hexadecanoic acid", 2.344, G
"Octadecanoic acid", 1.722, G
"Choline", 10.9, MG
"Folate, DFE", 1.00, UG
"Octadecenoic acid", 2.250, G
"Eicosenoic acid", 0.014, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 2.271, G
"Tocopherol, alpha", 0.68, MG
# Downloaded from https://www.nutritionvalue.org 
