charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Candies, HERSHEY'S SKOR Toffee Bar
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 541.00, KCAL
"Fat", 30.37, G
"Protein", 3.13, G
"Carbohydrate", 63.73, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.001, G
"Folate", 2.00, UG
"Vitamin B12", 0.21, UG
"Vitamin K", 8.6, UG
"Folate, food", 2.00, UG
"Vitamin B12, added", 0.00, UG
"Carotene, alpha", 2.00, UG
"Vitamin D3", 0.10, UG
"Vitamin D", 0.10, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Octanoic acid", 0.007, G
"Dodecanoic acid", 0.020, G
"Tetradecanoic acid", 0.092, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.012, G
"Tetradecenoic acid", 0.004, G
"Hexadecenoic acid", 0.078, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.017, G
"Tetracosanoic acid", 0.007, G
"Tetracosenoic cis acid", 0.000, G
"Vitamin E", 0.58, MG
"Vitamin D (D2 + D3), International Units", 3.00, IU
"Lutein + zeaxanthin", 7.00, UG
"Caffeine", 10.00, MG
"Theobromine", 111.00, MG
"Calcium, Ca", 30.00, MG
"Fluoride, F", 0.0, UG
"Vitamin B6", 0.022, MG
"Choline", 3.1, MG
"Folic acid", 0.00, UG
"Folate, DFE", 2.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.016, G
"Hexanoic acid", 0.011, G
"Decanoic acid", 0.021, G
"Hexadecanoic acid", 7.486, G
"Octadecanoic acid", 9.653, G
"Eicosanoic acid", 0.069, G
"Octadecenoic acid", 9.627, G
"Octadecadienoic acid", 1.115, G
"Octadecatrienoic acid", 0.075, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.004, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 9.714, G
"Polyunsaturated fatty acids", 1.191, G
"Pentadecanoic acid", 0.007, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Selenium, Se", 0.0, UG
"Potassium, K", 153.00, MG
"Zinc, Zn", 0.17, MG
"Sugars", 59.89, G
"Water", 1.57, G
"Niacin", 0.130, MG
"Pantothenic acid", 0.040, MG
"Ash", 1.20, G
"Alcohol, ethyl", 0.0, G
"Fiber", 1.3, G
"Iron, Fe", 0.57, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 61.00, MG
"Sodium, Na", 317.00, MG
"Copper, Cu", 0.040, MG
"Manganese, Mn", 0.000, MG
"Vitamin C", 0.5, MG
"Thiamin", 0.020, MG
"Riboflavin", 0.100, MG
"Cholesterol", 53.00, MG
"Saturated fatty acids", 18.780, G
"Vitamin A", 204.00, IU
"Retinol", 61.00, UG
"Vitamin A, RAE", 61.00, UG
"Carotene, beta", 0.00, UG
"Tocopherol, alpha", 0.58, MG
# Downloaded from https://www.nutritionvalue.org 
