charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Candies, KRACKEL Chocolate Bar
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 523.00, KCAL
"Fat", 26.58, G
"Protein", 6.62, G
"Carbohydrate", 64.34, G
"Water", 1.17, G
"Sugars", 52.53, G
"Calcium, Ca", 158.00, MG
"Potassium, K", 325.00, MG
"Zinc, Zn", 0.49, MG
"Selenium, Se", 3.5, UG
"Niacin", 0.260, MG
"Pantothenic acid", 0.420, MG
"Vitamin B6", 0.040, MG
"Monounsaturated fatty acids", 6.250, G
"Polyunsaturated fatty acids", 0.570, G
"Fiber", 2.2, G
"Iron, Fe", 1.06, MG
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 123.00, MG
"Sodium, Na", 196.00, MG
"Copper, Cu", 0.020, MG
"Manganese, Mn", 0.000, MG
"Vitamin A", 102.00, IU
"Vitamin C", 0.8, MG
"Thiamin", 0.050, MG
"Riboflavin", 0.190, MG
"Folate", 6.00, UG
"Cholesterol", 11.00, MG
"Saturated fatty acids", 15.920, G
"Ash", 1.29, G
"Alcohol, ethyl", 0.0, G
# Downloaded from https://www.nutritionvalue.org 
