charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Candies, prepared-from-recipe, toffee
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 560.00, KCAL
"Fat", 32.75, G
"Protein", 1.07, G
"Carbohydrate", 64.72, G
"Water", 0.55, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 63.47, G
"Calcium, Ca", 34.00, MG
"Potassium, K", 51.00, MG
"Zinc, Zn", 0.12, MG
"Selenium, Se", 0.8, UG
"Vitamin E", 0.94, MG
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.029, MG
"Pantothenic acid", 0.134, MG
"Vitamin B6", 0.009, MG
"Folic acid", 0.00, UG
"Folate, DFE", 2.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 1.184, G
"Hexanoic acid", 0.721, G
"Decanoic acid", 0.923, G
"Hexadecanoic acid", 8.688, G
"Octadecanoic acid", 4.003, G
"Eicosanoic acid", 0.028, G
"Octadecenoic acid", 8.147, G
"Octadecadienoic acid", 0.924, G
"Octadecatrienoic acid", 0.298, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.021, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 8.964, G
"Polyunsaturated fatty acids", 1.222, G
"Trans-octadecenoic acid", 0.613, G
"Octadecadienoic CLAs acid", 0.055, G
"Cis-hexadecenoic acid", 0.197, G
"Fatty acids, total trans-polyenoic", 0.061, G
"Ash", 0.66, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 4.00, MG
"Phosphorus, P", 32.00, MG
"Sodium, Na", 135.00, MG
"Copper, Cu", 0.003, MG
"Manganese, Mn", 0.002, MG
"Vitamin A", 1152.00, IU
"Retinol", 314.00, UG
"Vitamin A, RAE", 319.00, UG
"Carotene, beta", 64.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.2, MG
"Thiamin", 0.008, MG
"Riboflavin", 0.068, MG
"Folate", 2.00, UG
"Vitamin B12", 0.11, UG
"Vitamin K", 2.8, UG
"Folate, food", 2.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 104.00, MG
"Fatty acids, total trans", 0.674, G
"Saturated fatty acids", 20.565, G
"Octanoic acid", 0.424, G
"Dodecanoic acid", 0.983, G
"Tetradecanoic acid", 3.145, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.558, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.115, G
"Trans-Octadecadienoic acid", 0.06, G
"Cis-octadecenoic acid", 3.489, G
"Cis,cis-octadecadienoic n-6 acid", 0.445, G
"Fatty acids, total trans-monoenoic", 0.613, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.07, G
"Tocopherol, alpha", 0.94, MG
# Downloaded from https://www.nutritionvalue.org 
