charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Candies, sweet chocolate
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 507.00, KCAL
"Fat", 34.20, G
"Protein", 3.90, G
"Carbohydrate", 60.40, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 6.3, UG
"Lutein + zeaxanthin", 18.00, UG
"Vitamin E", 0.26, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Folate, food", 3.00, UG
"Sugars", 51.48, G
"Folate, DFE", 3.00, UG
"Water", 0.50, G
"Caffeine", 66.00, MG
"Theobromine", 426.00, MG
"Calcium, Ca", 24.00, MG
"Potassium, K", 290.00, MG
"Zinc, Zn", 1.50, MG
"Niacin", 0.670, MG
"Pantothenic acid", 0.071, MG
"Vitamin B6", 0.043, MG
"Isoleucine", 0.151, G
"Leucine", 0.236, G
"Lysine", 0.195, G
"Cystine", 0.048, G
"Valine", 0.234, G
"Arginine", 0.221, G
"Histidine", 0.067, G
"Aspartic acid", 0.388, G
"Serine", 0.168, G
"Hexadecanoic acid", 8.690, G
"Octadecanoic acid", 11.350, G
"Octadecenoic acid", 11.150, G
"Octadecadienoic acid", 0.960, G
"Octadecatrienoic acid", 0.030, G
"Monounsaturated fatty acids", 11.220, G
"Polyunsaturated fatty acids", 0.990, G
"Fiber", 5.5, G
"Iron, Fe", 2.76, MG
"Magnesium, Mg", 113.00, MG
"Phosphorus, P", 147.00, MG
"Sodium, Na", 16.00, MG
"Copper, Cu", 0.574, MG
"Manganese, Mn", 0.494, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.020, MG
"Riboflavin", 0.240, MG
"Folate", 3.00, UG
"Vitamin B12", 0.00, UG
"Ash", 1.00, G
"Tryptophan", 0.058, G
"Threonine", 0.154, G
"Methionine", 0.040, G
"Phenylalanine", 0.187, G
"Tyrosine", 0.146, G
"Alanine", 0.180, G
"Glutamic acid", 0.586, G
"Glycine", 0.175, G
"Proline", 0.167, G
"Tetradecanoic acid", 0.030, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 20.080, G
"Hexadecenoic acid", 0.070, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 2.8, UG
"Choline", 29.9, MG
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
