charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Carrot, dehydrated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 341.00, KCAL
"Fat", 1.49, G
"Protein", 8.10, G
"Carbohydrate", 79.57, G
"Vitamin E", 5.45, MG
"Choline", 72.1, MG
"Lutein + zeaxanthin", 1051.00, UG
"Sugars", 38.82, G
"Carotene, beta", 33954.00, UG
"Carotene, alpha", 14251.00, UG
"Lycopene", 3.00, UG
"Vitamin K", 108.0, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Folate, food", 55.00, UG
"Tryptophan", 0.087, G
"Threonine", 0.299, G
"Methionine", 0.056, G
"Phenylalanine", 0.251, G
"Tyrosine", 0.157, G
"Alanine", 0.464, G
"Glutamic acid", 1.589, G
"Proline", 0.228, G
"Vitamin C", 14.6, MG
"Thiamin", 0.534, MG
"Riboflavin", 0.417, MG
"Folate", 55.00, UG
"Vitamin B12", 0.00, UG
"Vitamin A, RAE", 3423.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Ash", 6.84, G
"Alcohol, ethyl", 0.0, G
"Fiber", 23.6, G
"Iron, Fe", 3.93, MG
"Magnesium, Mg", 118.00, MG
"Phosphorus, P", 346.00, MG
"Sodium, Na", 275.00, MG
"Copper, Cu", 0.370, MG
"Manganese, Mn", 1.116, MG
"Vitamin A", 68466.00, IU
"Saturated fatty acids", 0.256, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.019, G
"Tetradecanoic acid", 0.009, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.019, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 94.00, MG
"Water", 4.00, G
"Calcium, Ca", 212.00, MG
"Potassium, K", 2540.00, MG
"Zinc, Zn", 1.57, MG
"Niacin", 6.567, MG
"Pantothenic acid", 1.471, MG
"Vitamin B6", 1.040, MG
"Folate, DFE", 55.00, UG
"Isoleucine", 0.323, G
"Leucine", 0.338, G
"Lysine", 0.315, G
"Cystine", 0.063, G
"Valine", 0.346, G
"Arginine", 0.338, G
"Histidine", 0.126, G
"Aspartic acid", 1.077, G
"Serine", 0.275, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.218, G
"Octadecanoic acid", 0.009, G
"Octadecenoic acid", 0.057, G
"Octadecadienoic acid", 0.635, G
"Octadecatrienoic acid", 0.095, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.076, G
"Polyunsaturated fatty acids", 0.730, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Retinol", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 8.6, UG
"Tocopherol, alpha", 5.45, MG
# Downloaded from https://www.nutritionvalue.org 
