charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Carrots, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 36.00, KCAL
"Fat", 0.46, G
"Protein", 0.78, G
"Carbohydrate", 7.90, G
"Niacin", 0.464, MG
"Pantothenic acid", 0.187, MG
"Vitamin B6", 0.095, MG
"Calcium, Ca", 36.00, MG
"Potassium, K", 235.00, MG
"Zinc, Zn", 0.33, MG
"Sucrose", 4.05, G
"Glucose (dextrose)", 0.40, G
"Maltose", 0.00, G
"Water", 90.04, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Galactose", 0.00, G
"Fiber", 3.3, G
"Iron, Fe", 0.44, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 33.00, MG
"Sodium, Na", 68.00, MG
"Copper, Cu", 0.074, MG
"Manganese, Mn", 0.171, MG
"Ash", 0.83, G
"Starch", 0.26, G
"Fructose", 0.31, G
"Lactose", 0.00, G
"Vitamin C", 2.5, MG
"Thiamin", 0.044, MG
"Riboflavin", 0.037, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 17.6, UG
"Lycopene", 1.00, UG
"Carotene, beta", 7047.00, UG
"Carotene, alpha", 2958.00, UG
"Lutein + zeaxanthin", 218.00, UG
"Choline", 7.5, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Folate", 10.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.011, G
"Threonine", 0.040, G
"Methionine", 0.007, G
"Phenylalanine", 0.034, G
"Tyrosine", 0.021, G
"Alanine", 0.062, G
"Glutamic acid", 0.212, G
"Glycine", 0.031, G
"Proline", 0.030, G
"Isoleucine", 0.043, G
"Leucine", 0.045, G
"Lysine", 0.042, G
"Cystine", 0.009, G
"Valine", 0.046, G
"Arginine", 0.045, G
"Histidine", 0.017, G
"Aspartic acid", 0.144, G
"Serine", 0.036, G
"Sugars", 4.76, G
"Vitamin E", 0.57, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.041, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.010, G
"Octadecadienoic acid", 0.247, G
"Octadecatrienoic acid", 0.017, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.014, G
"Polyunsaturated fatty acids", 0.263, G
"Folic acid", 0.00, UG
"Folate, DFE", 10.00, UG
"Betaine", 0.3, MG
"Folate, food", 10.00, UG
"Saturated fatty acids", 0.047, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.004, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Cryptoxanthin, beta", 0.00, UG
"Vitamin A, RAE", 710.00, UG
"Vitamin A", 14210.00, IU
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin D", 0.00, UG
"Selenium, Se", 0.7, UG
"Tocopherol, alpha", 0.57, MG
# Downloaded from https://www.nutritionvalue.org 
