charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cassava, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 160.00, KCAL
"Fat", 0.28, G
"Protein", 1.36, G
"Carbohydrate", 38.06, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin A", 13.00, IU
"Vitamin A, RAE", 1.00, UG
"Folate, food", 27.00, UG
"Folate, DFE", 27.00, UG
"Betaine", 0.4, MG
"Choline", 23.7, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Dodecanoic acid", 0.001, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Vitamin C", 20.6, MG
"Thiamin", 0.087, MG
"Riboflavin", 0.048, MG
"Folate", 27.00, UG
"Ash", 0.62, G
"Fiber", 1.8, G
"Iron, Fe", 0.27, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 27.00, MG
"Sodium, Na", 14.00, MG
"Copper, Cu", 0.100, MG
"Manganese, Mn", 0.384, MG
"Saturated fatty acids", 0.074, G
"Tryptophan", 0.019, G
"Threonine", 0.028, G
"Methionine", 0.011, G
"Phenylalanine", 0.026, G
"Tyrosine", 0.017, G
"Alanine", 0.038, G
"Glutamic acid", 0.206, G
"Glycine", 0.028, G
"Proline", 0.033, G
"Monounsaturated fatty acids", 0.075, G
"Polyunsaturated fatty acids", 0.048, G
"Hexadecanoic acid", 0.069, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.075, G
"Octadecadienoic acid", 0.032, G
"Octadecatrienoic acid", 0.017, G
"Water", 59.68, G
"Niacin", 0.854, MG
"Pantothenic acid", 0.107, MG
"Vitamin B6", 0.088, MG
"Calcium, Ca", 16.00, MG
"Potassium, K", 271.00, MG
"Zinc, Zn", 0.34, MG
"Isoleucine", 0.027, G
"Leucine", 0.039, G
"Lysine", 0.044, G
"Cystine", 0.028, G
"Valine", 0.035, G
"Arginine", 0.137, G
"Histidine", 0.020, G
"Aspartic acid", 0.079, G
"Serine", 0.033, G
"Selenium, Se", 0.7, UG
"Vitamin E", 0.19, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.70, G
"Vitamin K", 1.9, UG
"Carotene, beta", 8.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, alpha", 0.19, MG
# Downloaded from https://www.nutritionvalue.org 
