charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cauliflower, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 24.00, KCAL
"Fat", 0.27, G
"Protein", 2.01, G
"Carbohydrate", 4.68, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Choline", 41.9, MG
"Folate, DFE", 64.00, UG
"Vitamin A", 12.00, IU
"Vitamin A, RAE", 1.00, UG
"Folate, food", 64.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Water", 92.51, G
"Calcium, Ca", 22.00, MG
"Potassium, K", 193.00, MG
"Zinc, Zn", 0.17, MG
"Niacin", 0.429, MG
"Pantothenic acid", 0.136, MG
"Vitamin B6", 0.123, MG
"Isoleucine", 0.077, G
"Leucine", 0.118, G
"Lysine", 0.108, G
"Cystine", 0.023, G
"Valine", 0.101, G
"Arginine", 0.097, G
"Histidine", 0.041, G
"Aspartic acid", 0.236, G
"Serine", 0.105, G
"Hexadecanoic acid", 0.036, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.019, G
"Octadecadienoic acid", 0.029, G
"Octadecatrienoic acid", 0.098, G
"Monounsaturated fatty acids", 0.019, G
"Polyunsaturated fatty acids", 0.128, G
"Ash", 0.53, G
"Fiber", 2.3, G
"Iron, Fe", 0.54, MG
"Magnesium, Mg", 12.00, MG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.041, G
"Vitamin C", 48.8, MG
"Thiamin", 0.051, MG
"Riboflavin", 0.070, MG
"Folate", 64.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.026, G
"Threonine", 0.073, G
"Methionine", 0.028, G
"Phenylalanine", 0.072, G
"Tyrosine", 0.044, G
"Alanine", 0.106, G
"Glutamic acid", 0.268, G
"Glycine", 0.065, G
"Proline", 0.087, G
"Phosphorus, P", 35.00, MG
"Sodium, Na", 24.00, MG
"Copper, Cu", 0.031, MG
"Manganese, Mn", 0.197, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin K", 14.8, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 7.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 2.22, G
"Lutein + zeaxanthin", 31.00, UG
"Vitamin E", 0.07, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.8, UG
"Tocopherol, alpha", 0.07, MG
# Downloaded from https://www.nutritionvalue.org 
