charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Celery, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 14.00, KCAL
"Fat", 0.17, G
"Protein", 0.69, G
"Carbohydrate", 2.97, G
"Folic acid", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Saturated fatty acids", 0.042, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 6.00, MG
"Folate, food", 36.00, UG
"Tryptophan", 0.009, G
"Threonine", 0.020, G
"Methionine", 0.005, G
"Phenylalanine", 0.020, G
"Tyrosine", 0.009, G
"Alanine", 0.023, G
"Glutamic acid", 0.090, G
"Glycine", 0.021, G
"Proline", 0.018, G
"Alcohol, ethyl", 0.0, G
"Vitamin C", 3.1, MG
"Betaine", 0.1, MG
"Isoleucine", 0.021, G
"Leucine", 0.032, G
"Lysine", 0.027, G
"Cystine", 0.004, G
"Valine", 0.027, G
"Arginine", 0.020, G
"Histidine", 0.012, G
"Aspartic acid", 0.117, G
"Serine", 0.020, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.037, G
"Octadecanoic acid", 0.004, G
"Octadecenoic acid", 0.031, G
"Octadecadienoic acid", 0.079, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.032, G
"Polyunsaturated fatty acids", 0.079, G
"Fluoride, F", 4.0, UG
"Choline", 6.1, MG
"Folate", 36.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Starch", 0.00, G
"Lactose", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.01, MG
"Tocotrienol, beta", 0.00, MG
"Maltose", 0.00, G
"Retinol", 0.00, UG
"Fructose", 0.37, G
"Galactose", 0.48, G
"Sucrose", 0.08, G
"Glucose (dextrose)", 0.40, G
"Sugars", 1.34, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Lutein + zeaxanthin", 283.00, UG
"Pantothenic acid", 0.246, MG
"Calcium, Ca", 40.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Zinc, Zn", 0.13, MG
"Vitamin E", 0.27, MG
"Vitamin K", 29.3, UG
"Carotene, beta", 270.00, UG
"Magnesium, Mg", 11.00, MG
"Vitamin A, RAE", 22.00, UG
"Vitamin A", 449.00, IU
"Folate, DFE", 36.00, UG
"Phosphorus, P", 24.00, MG
"Sodium, Na", 80.00, MG
"Copper, Cu", 0.035, MG
"Manganese, Mn", 0.103, MG
"Thiamin", 0.021, MG
"Riboflavin", 0.057, MG
"Fiber", 1.6, G
"Iron, Fe", 0.20, MG
"Ash", 0.75, G
"Selenium, Se", 0.4, UG
"Niacin", 0.320, MG
"Potassium, K", 260.00, MG
"Water", 95.43, G
"Vitamin B6", 0.074, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.27, MG
# Downloaded from https://www.nutritionvalue.org 
