charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, brie
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 334.00, KCAL
"Fat", 27.68, G
"Protein", 20.75, G
"Carbohydrate", 0.45, G
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.45, G
"Vitamin E", 0.24, MG
"Lycopene", 0.00, UG
"Vitamin K", 2.3, UG
"Carotene, beta", 9.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Eicosatetraenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 20.00, IU
"Folate, DFE", 65.00, UG
"Choline", 15.4, MG
"Vitamin D3", 0.50, UG
"Vitamin D", 0.50, UG
"Vitamin A", 592.00, IU
"Retinol", 173.00, UG
"Vitamin A, RAE", 174.00, UG
"Folate, food", 65.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Fiber", 0.0, G
"Iron, Fe", 0.50, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 188.00, MG
"Sodium, Na", 629.00, MG
"Copper, Cu", 0.019, MG
"Manganese, Mn", 0.034, MG
"Ash", 2.70, G
"Cholesterol", 100.00, MG
"Saturated fatty acids", 17.410, G
"Octanoic acid", 0.297, G
"Dodecanoic acid", 0.504, G
"Tetradecanoic acid", 3.065, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 1.007, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tryptophan", 0.322, G
"Threonine", 0.751, G
"Methionine", 0.592, G
"Phenylalanine", 1.158, G
"Tyrosine", 1.200, G
"Alanine", 0.859, G
"Glutamic acid", 4.387, G
"Glycine", 0.397, G
"Proline", 2.459, G
"Vitamin C", 0.0, MG
"Thiamin", 0.070, MG
"Riboflavin", 0.520, MG
"Folate", 65.00, UG
"Vitamin B12", 1.65, UG
"Water", 48.42, G
"Calcium, Ca", 184.00, MG
"Potassium, K", 152.00, MG
"Zinc, Zn", 2.38, MG
"Niacin", 0.380, MG
"Pantothenic acid", 0.690, MG
"Vitamin B6", 0.235, MG
"Butanoic acid", 0.564, G
"Hexanoic acid", 0.323, G
"Decanoic acid", 0.673, G
"Hexadecanoic acid", 8.246, G
"Octadecanoic acid", 2.880, G
"Octadecenoic acid", 6.563, G
"Octadecadienoic acid", 0.513, G
"Octadecatrienoic acid", 0.313, G
"Isoleucine", 1.015, G
"Leucine", 1.929, G
"Lysine", 1.851, G
"Cystine", 0.114, G
"Valine", 1.340, G
"Arginine", 0.735, G
"Histidine", 0.716, G
"Aspartic acid", 1.350, G
"Serine", 1.168, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 8.013, G
"Polyunsaturated fatty acids", 0.826, G
"Selenium, Se", 14.5, UG
"Tocopherol, alpha", 0.24, MG
# Downloaded from https://www.nutritionvalue.org 
