charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, camembert
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 300.00, KCAL
"Fat", 24.26, G
"Protein", 19.80, G
"Carbohydrate", 0.46, G
"Folic acid", 0.00, UG
"Carotene, beta", 12.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 2.0, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Sugars", 0.46, G
"Vitamin E", 0.21, MG
"Lutein + zeaxanthin", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D3", 0.40, UG
"Vitamin D", 0.40, UG
"Vitamin A", 820.00, IU
"Retinol", 240.00, UG
"Vitamin A, RAE", 241.00, UG
"Folate, food", 62.00, UG
"Vitamin D (D2 + D3), International Units", 18.00, IU
"Folate, DFE", 62.00, UG
"Choline", 15.4, MG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.494, G
"Hexanoic acid", 0.283, G
"Decanoic acid", 0.590, G
"Hexadecanoic acid", 7.227, G
"Octadecanoic acid", 2.524, G
"Octadecenoic acid", 5.752, G
"Octadecadienoic acid", 0.450, G
"Octadecatrienoic acid", 0.274, G
"Eicosatetraenoic acid", 0.000, G
"Niacin", 0.630, MG
"Pantothenic acid", 1.364, MG
"Vitamin B6", 0.227, MG
"Isoleucine", 0.968, G
"Leucine", 1.840, G
"Lysine", 1.766, G
"Cystine", 0.109, G
"Valine", 1.279, G
"Arginine", 0.701, G
"Histidine", 0.683, G
"Aspartic acid", 1.288, G
"Serine", 1.114, G
"Water", 51.80, G
"Calcium, Ca", 388.00, MG
"Potassium, K", 187.00, MG
"Zinc, Zn", 2.38, MG
"Monounsaturated fatty acids", 7.023, G
"Polyunsaturated fatty acids", 0.724, G
"Cholesterol", 72.00, MG
"Saturated fatty acids", 15.259, G
"Octanoic acid", 0.260, G
"Dodecanoic acid", 0.442, G
"Tetradecanoic acid", 2.686, G
"Vitamin C", 0.0, MG
"Thiamin", 0.028, MG
"Riboflavin", 0.488, MG
"Folate", 62.00, UG
"Vitamin B12", 1.30, UG
"Tryptophan", 0.307, G
"Threonine", 0.717, G
"Methionine", 0.565, G
"Phenylalanine", 1.105, G
"Tyrosine", 1.145, G
"Alanine", 0.819, G
"Glutamic acid", 4.187, G
"Glycine", 0.379, G
"Proline", 2.346, G
"Manganese, Mn", 0.038, MG
"Hexadecenoic acid", 0.883, G
"Fiber", 0.0, G
"Iron, Fe", 0.33, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 347.00, MG
"Sodium, Na", 842.00, MG
"Copper, Cu", 0.021, MG
"Ash", 3.68, G
"Selenium, Se", 14.5, UG
"Tocopherol, alpha", 0.21, MG
# Downloaded from https://www.nutritionvalue.org 
