charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, colby
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 394.00, KCAL
"Fat", 32.11, G
"Protein", 23.76, G
"Carbohydrate", 2.57, G
"Folic acid", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Folate, DFE", 18.00, UG
"Vitamin D (D2 + D3), International Units", 24.00, IU
"Choline", 15.4, MG
"Vitamin A", 994.00, IU
"Retinol", 257.00, UG
"Vitamin A, RAE", 264.00, UG
"Vitamin D3", 0.60, UG
"Vitamin D", 0.60, UG
"Folate, food", 18.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Water", 38.20, G
"Calcium, Ca", 685.00, MG
"Potassium, K", 127.00, MG
"Zinc, Zn", 3.07, MG
"Niacin", 0.093, MG
"Pantothenic acid", 0.210, MG
"Vitamin B6", 0.079, MG
"Isoleucine", 1.475, G
"Leucine", 2.275, G
"Lysine", 1.978, G
"Cystine", 0.119, G
"Valine", 1.586, G
"Arginine", 0.898, G
"Histidine", 0.834, G
"Aspartic acid", 1.527, G
"Serine", 1.389, G
"Butanoic acid", 1.041, G
"Hexanoic acid", 0.259, G
"Decanoic acid", 0.597, G
"Hexadecanoic acid", 8.232, G
"Octadecanoic acid", 3.630, G
"Octadecenoic acid", 7.813, G
"Octadecadienoic acid", 0.676, G
"Octadecatrienoic acid", 0.277, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 9.280, G
"Polyunsaturated fatty acids", 0.953, G
"Ash", 3.36, G
"Fiber", 0.0, G
"Iron, Fe", 0.76, MG
"Magnesium, Mg", 26.00, MG
"Phosphorus, P", 457.00, MG
"Sodium, Na", 604.00, MG
"Copper, Cu", 0.042, MG
"Manganese, Mn", 0.012, MG
"Tryptophan", 0.305, G
"Threonine", 0.845, G
"Methionine", 0.622, G
"Phenylalanine", 1.251, G
"Tyrosine", 1.147, G
"Alanine", 0.670, G
"Glutamic acid", 5.813, G
"Glycine", 0.410, G
"Proline", 2.678, G
"Vitamin C", 0.0, MG
"Thiamin", 0.015, MG
"Riboflavin", 0.375, MG
"Folate", 18.00, UG
"Vitamin B12", 0.83, UG
"Cholesterol", 95.00, MG
"Saturated fatty acids", 20.218, G
"Octanoic acid", 0.324, G
"Dodecanoic acid", 0.422, G
"Tetradecanoic acid", 3.831, G
"Hexadecenoic acid", 0.979, G
"Selenium, Se", 14.5, UG
"Vitamin E", 0.28, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.52, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin K", 2.7, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 82.00, UG
"Carotene, alpha", 0.00, UG
"Tocopherol, alpha", 0.28, MG
# Downloaded from https://www.nutritionvalue.org 
