charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, feta
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 265.00, KCAL
"Fat", 21.49, G
"Protein", 14.21, G
"Carbohydrate", 3.88, G
"Folic acid", 0.00, UG
"Vitamin E", 0.18, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Carotene, beta", 3.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 1.8, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Choline", 15.4, MG
"Vitamin D (D2 + D3), International Units", 16.00, IU
"Folate, DFE", 32.00, UG
"Folate, food", 32.00, UG
"Vitamin D3", 0.40, UG
"Vitamin D", 0.40, UG
"Vitamin A", 422.00, IU
"Retinol", 125.00, UG
"Vitamin A, RAE", 125.00, UG
"Alcohol, ethyl", 0.0, G
"Butanoic acid", 0.714, G
"Hexanoic acid", 0.528, G
"Decanoic acid", 1.822, G
"Sugars", 0.00, G
"Hexadecanoic acid", 4.748, G
"Octadecanoic acid", 1.371, G
"Saturated fatty acids", 13.300, G
"Octanoic acid", 0.503, G
"Dodecanoic acid", 1.068, G
"Tetradecanoic acid", 2.545, G
"Sodium, Na", 1139.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Water", 55.22, G
"Calcium, Ca", 493.00, MG
"Potassium, K", 62.00, MG
"Zinc, Zn", 2.88, MG
"Niacin", 0.991, MG
"Pantothenic acid", 0.967, MG
"Vitamin B6", 0.424, MG
"Isoleucine", 0.803, G
"Leucine", 1.395, G
"Lysine", 1.219, G
"Cystine", 0.083, G
"Valine", 1.065, G
"Arginine", 0.470, G
"Histidine", 0.397, G
"Aspartic acid", 0.779, G
"Serine", 1.169, G
"Octadecenoic acid", 3.975, G
"Octadecadienoic acid", 0.326, G
"Octadecatrienoic acid", 0.265, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.623, G
"Polyunsaturated fatty acids", 0.591, G
"Cholesterol", 89.00, MG
"Hexadecenoic acid", 0.385, G
"Tryptophan", 0.200, G
"Threonine", 0.637, G
"Methionine", 0.368, G
"Phenylalanine", 0.675, G
"Tyrosine", 0.668, G
"Alanine", 0.639, G
"Glutamic acid", 2.421, G
"Glycine", 0.097, G
"Proline", 1.378, G
"Ash", 5.20, G
"Copper, Cu", 0.032, MG
"Manganese, Mn", 0.028, MG
"Fiber", 0.0, G
"Iron, Fe", 0.65, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 337.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.154, MG
"Riboflavin", 0.844, MG
"Folate", 32.00, UG
"Vitamin B12", 1.69, UG
"Selenium, Se", 15.0, UG
"Tocopherol, alpha", 0.18, MG
# Downloaded from https://www.nutritionvalue.org 
