charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, gouda
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 356.00, KCAL
"Fat", 27.44, G
"Protein", 24.94, G
"Carbohydrate", 2.22, G
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 2.22, G
"Vitamin E", 0.24, MG
"Carotene, beta", 10.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 2.3, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 20.00, IU
"Folate, DFE", 21.00, UG
"Choline", 15.4, MG
"Folate, food", 21.00, UG
"Vitamin D3", 0.50, UG
"Vitamin D", 0.50, UG
"Vitamin A", 563.00, IU
"Retinol", 164.00, UG
"Vitamin A, RAE", 165.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Phosphorus, P", 546.00, MG
"Sodium, Na", 819.00, MG
"Copper, Cu", 0.036, MG
"Manganese, Mn", 0.011, MG
"Cholesterol", 114.00, MG
"Saturated fatty acids", 17.614, G
"Octanoic acid", 0.427, G
"Dodecanoic acid", 1.211, G
"Tetradecanoic acid", 3.040, G
"Vitamin C", 0.0, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.334, MG
"Folate", 21.00, UG
"Vitamin B12", 1.54, UG
"Tryptophan", 0.352, G
"Threonine", 0.930, G
"Methionine", 0.719, G
"Phenylalanine", 1.431, G
"Tyrosine", 1.454, G
"Alanine", 0.762, G
"Glutamic acid", 6.137, G
"Glycine", 0.485, G
"Proline", 3.245, G
"Hexadecenoic acid", 0.889, G
"Fiber", 0.0, G
"Iron, Fe", 0.24, MG
"Magnesium, Mg", 29.00, MG
"Ash", 3.94, G
"Water", 41.46, G
"Calcium, Ca", 700.00, MG
"Potassium, K", 121.00, MG
"Zinc, Zn", 3.90, MG
"Butanoic acid", 0.999, G
"Hexanoic acid", 0.640, G
"Decanoic acid", 0.918, G
"Hexadecanoic acid", 6.851, G
"Octadecanoic acid", 2.918, G
"Octadecenoic acid", 6.388, G
"Octadecadienoic acid", 0.263, G
"Octadecatrienoic acid", 0.394, G
"Eicosatetraenoic acid", 0.000, G
"Isoleucine", 1.306, G
"Leucine", 2.564, G
"Lysine", 2.654, G
"Cystine", 0.254, G
"Valine", 1.806, G
"Arginine", 0.962, G
"Histidine", 1.032, G
"Aspartic acid", 1.743, G
"Serine", 1.544, G
"Monounsaturated fatty acids", 7.747, G
"Polyunsaturated fatty acids", 0.657, G
"Niacin", 0.063, MG
"Pantothenic acid", 0.340, MG
"Vitamin B6", 0.080, MG
"Selenium, Se", 14.5, UG
"Tocopherol, alpha", 0.24, MG
# Downloaded from https://www.nutritionvalue.org 
