charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cheese, hard, parmesan
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 392.00, KCAL
"Fat", 25.00, G
"Protein", 35.75, G
"Carbohydrate", 3.22, G
"Folic acid", 0.00, UG
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin K", 1.7, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Folate, DFE", 7.00, UG
"Choline", 15.4, MG
"Vitamin E", 0.22, MG
"Vitamin D (D2 + D3), International Units", 19.00, IU
"Vitamin D3", 0.50, UG
"Vitamin D", 0.50, UG
"Vitamin A", 781.00, IU
"Retinol", 201.00, UG
"Vitamin A, RAE", 207.00, UG
"Carotene, beta", 66.00, UG
"Folate, food", 7.00, UG
"Alcohol, ethyl", 0.0, G
"Sodium, Na", 1175.00, MG
"Saturated fatty acids", 14.850, G
"Water", 30.00, G
"Sugars", 0.11, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Copper, Cu", 0.032, MG
"Manganese, Mn", 0.020, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.039, MG
"Riboflavin", 0.332, MG
"Folate", 7.00, UG
"Vitamin B12", 1.20, UG
"Fiber", 0.0, G
"Iron, Fe", 0.82, MG
"Magnesium, Mg", 44.00, MG
"Phosphorus, P", 694.00, MG
"Cholesterol", 68.00, MG
"Hexadecenoic acid", 0.394, G
"Octanoic acid", 0.260, G
"Dodecanoic acid", 0.873, G
"Tetradecanoic acid", 2.911, G
"Tryptophan", 0.482, G
"Threonine", 1.317, G
"Methionine", 0.958, G
"Phenylalanine", 1.922, G
"Tyrosine", 1.995, G
"Alanine", 1.048, G
"Glutamic acid", 8.209, G
"Glycine", 0.622, G
"Proline", 4.180, G
"Ash", 6.04, G
"Calcium, Ca", 1184.00, MG
"Potassium, K", 92.00, MG
"Zinc, Zn", 2.75, MG
"Niacin", 0.271, MG
"Pantothenic acid", 0.453, MG
"Vitamin B6", 0.091, MG
"Isoleucine", 1.894, G
"Leucine", 3.452, G
"Lysine", 3.306, G
"Cystine", 0.235, G
"Valine", 2.454, G
"Arginine", 1.317, G
"Histidine", 1.384, G
"Aspartic acid", 2.236, G
"Serine", 2.068, G
"Butanoic acid", 1.299, G
"Hexanoic acid", 0.487, G
"Decanoic acid", 0.648, G
"Hexadecanoic acid", 6.966, G
"Octadecanoic acid", 2.301, G
"Octadecenoic acid", 6.656, G
"Octadecadienoic acid", 0.272, G
"Octadecatrienoic acid", 0.297, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 7.515, G
"Polyunsaturated fatty acids", 0.569, G
"Selenium, Se", 22.5, UG
"Tocopherol, alpha", 0.22, MG
# Downloaded from https://www.nutritionvalue.org 
